OpenAPI feature,Count
Minimum_Depth_1,6
ExampleExtension,0
Responses,3
ExampleComponent,2
OperationTag,3
Schema_Depth_2,120
SchemaExtension_Depth_2,0
ParameterComponent,0
Operation,3
SchemaType_string,180
SchemaExtension_Depth_1,0
PathServer,0
SecuritySchemeComponent,1
Path_Post,2
Enum_Depth_1,33
MediaTypeEncoding,0
Response,9
SchemaType_object,21
ResponseCode_401,3
SchemaType_array,9
Enum_Depth_2,99
SecurityScheme_Scheme_bearer,1
BearerFormat,1
GlobalWebhook,0
OperationExtension,0
Link,0
SchemaExample_Depth_2,81
SchemaType_boolean,7
ResponseComponent,5
ComponentExtension,0
GlobalExtension,0
RequestBodyContent,5
RequestBodyContent_application/json,5
ResponsesExtension,0
ResponseContent,14
Format_date-time_Depth_2,6
Properties_Depth_1,119
Maximum_Depth_1,6
ResponseContent_application/json,14
ResponseCode_200,3
Server,4
ResponseLink,0
RequestBodyComponent,3
Path,3
Header,0
RefSchema_Depth_2,48
DefaultResponse,3
Callback,0
Component,25
OneOf_Depth_1,5
ResponseHeader,0
SchemaType_integer,4
ServerExtension,0
AllOf_Depth_1,13
Items_Depth_1,9
Properties_Depth_2,111
SecuritySchemeExtension,0
PathParameter,0
Tag,0
OperationParameter,0
RequestBodyExtension,0
Encoding,0
Example,162
Format_date-time_Depth_1,18
SchemaType_number,6
PathExtension,0
Format_email_Depth_1,3
SecurityScheme_Type_http,1
Schema_Depth_1,188
ResponseExtension,0
Format_email_Depth_2,6
Path_Get,1
CallbackComponent,0
LinkComponent,0
ServerVariable,0
RequestBody,5
RefSchema_Depth_1,67
SchemaExample_Depth_1,69
MediaTypeExtension,0
SchemaComponent,14
HeaderComponent,0
