OpenAPI feature,Count
MediaTypeEncoding,0
Response,120
ResponsesExtension,0
SchemaType_array,99
NullableSchema_Depth_2,34
SchemaType_string,1961
SchemaExtension_Depth_1,12
path_Parameter,29
ResponseContent,115
ExampleComponent,0
ComponentExtension,0
GlobalExtension,0
Tag,0
Properties_Depth_1,2662
ParameterExtension,0
SchemaType_integer,249
ResponseCode_500,22
SchemaType_boolean,181
PathExtension,0
Path_Post,7
Operation,22
AdditionalProperties_Depth_2,1
Properties_Depth_3,14
ParameterComponent,0
Items_Depth_1,88
SchemaExample_Depth_2,117
SchemaExtension_Depth_3,0
SecuritySchemeComponent,1
SecuritySchemeExtension,0
OperationTag,22
SchemaType_object,886
ResponseCode_404,21
Callback,0
ResponseComponent,0
Responses,22
ResponseCode_400,11
Path_Get,7
RequestBodyContent_application/json,9
OneOf_Depth_2,4
RequiredSchema_Depth_1,1360
ResponseCode_200,13
ResponseHeader,0
NullableSchema_Depth_1,346
ResponseLink,0
RefSchema_Depth_2,33
Enum_Depth_3,24
Server,1
OperationParameter,29
HeaderComponent,0
SecurityScheme_Type_http,1
LinkComponent,0
ResponseContent_application/json,115
OneOf_Depth_1,41
ResponseCode_204,4
Component,58
RequestBodyExtension,0
RequestBodyContent_multipart/form-data,1
SchemaExtension_Depth_2,0
ResponseCode_201,5
Enum_Depth_4,8
Encoding,0
Enum_Depth_2,138
SchemaComponent,57
Path_Delete,4
AdditionalProperties_Depth_1,3
RequestBodyContent,10
Link,0
ResponseCode_401,22
PathServer,0
ResponseCode_504,12
ResponseCode_422,8
RequiredParameter,29
Example,924
Properties_Depth_4,0
Properties_Depth_2,410
Items_Depth_2,10
ServerVariable,0
ServerExtension,0
MediaTypeExtension,0
PathParameter,0
SchemaType_number,149
Items_Depth_3,1
RequiredSchema_Depth_2,97
SecurityScheme_Scheme_bearer,1
Path,13
Format_binary_Depth_1,2
Header,0
ResponseCode_503,2
Path_Patch,4
Discriminator_Depth_2,4
Discriminator_Depth_1,41
CallbackComponent,0
RequestBody,10
RefSchema_Depth_1,397
GlobalWebhook,0
ResponseExtension,0
SchemaExample_Depth_1,807
SchemaExtension_Depth_4,0
RequestBodyComponent,0
OperationExtension,0
Enum_Depth_1,1164
