OpenAPI feature,Count
ServerVariable,0
ParameterStyle_form,3
ParameterExtension,0
Response,1
ResponseExtension,0
SecuritySchemeComponent,0
GlobalWebhook,0
ServerExtension,0
ResponseContent,1
ResponseLink,0
ExampleComponent,0
ResponseHeader,0
ResponseContent_application/json,1
RefSchema_Depth_1,1
SchemaType_number,4
Enum_Depth_1,0
Example,5
ComponentExtension,0
OperationParameter,3
SchemaType_object,12
Component,1
RequestBodyComponent,0
Server,2
OperationExtension,0
Properties_Depth_1,76
MediaTypeEncoding,0
Link,0
PathExtension,0
ExplodeParameter,3
SchemaComponent,1
ParameterComponent,0
Schema_Depth_1,81
Responses,1
SchemaType_boolean,6
Path,1
SchemaType_integer,12
MediaTypeExtension,0
HeaderComponent,0
Encoding,0
Callback,0
SchemaExample_Depth_1,2
ExampleExtension,0
LinkComponent,0
SchemaExtension_Depth_1,0
PathServer,1
GlobalExtension,0
Tag,0
Path_Get,1
query_Parameter,3
RequiredParameter,1
SchemaType_string,47
Operation,1
ParameterExample,2
ResponsesExtension,0
ResponseCode_200,1
PathParameter,0
ExternalDocExtension,0
Header,0
ResponseComponent,0
CallbackComponent,0
GlobalExternalDoc,1
