OpenAPI feature,Count
RefSchema_Depth_1,440
AdditionalProperties_Depth_1,26
GlobalWebhook,0
SchemaExtension_Depth_2,179
PathServer,0
RequiredSchema_Depth_3,120
Format_date-time_Depth_1,12
ReadOnlySchema_Depth_1,1
RequestBodyComponent,0
SecurityScheme_Scheme_basic,1
SchemaExtension_Depth_1,342
Enum_Depth_2,7921
SchemaType_object,29
ResponseContent_application/json,129
SchemaType_array,394
MaxLength_Depth_2,83
MinLength_Depth_2,51
Format_int32_Depth_3,44
ParameterComponent,0
Format_int32_Depth_2,63
Tag,0
Path,19
Operation,19
RequestBodyContent_application/json,19
ResponseCode_500,19
RefSchema_Depth_2,503
Format_date-time_Depth_2,26
AdditionalProperties_Depth_2,3
SecuritySchemeComponent,2
Response,129
ResponseCode_422,19
SchemaType_boolean,94
CallbackComponent,0
Items_Depth_1,258
Items_Depth_2,92
ReadOnlySchema_Depth_2,15
Properties_Depth_4,0
SecurityScheme_Type_apiKey,1
GlobalExtension,1
ServerVariable,0
Enum_Depth_1,950
ResponseHeader,0
Header,0
ResponseCode_400,19
SecurityScheme_Type_http,1
Component,93
OperationTag,19
RequestBodyExtension,0
Properties_Depth_1,2347
SchemaType_integer,335
PathParameter,0
RefSchema_Depth_3,120
Enum_Depth_3,952
SecuritySchemeExtension,0
SchemaType_string,3974
Example,84
ExampleExtension,0
MediaTypeExtension,0
Responses,19
Link,0
HeaderComponent,0
SchemaExtension_Depth_3,88
RequiredSchema_Depth_1,462
MediaTypeEncoding,0
ResponseExtension,0
ResponseLink,0
RequiredSchema_Depth_2,455
MaxLength_Depth_1,112
ResponseCode_202,15
SchemaExtension_Depth_4,0
RequestBody,19
Format_int32_Depth_1,155
ResponseCode_403,19
Callback,0
Properties_Depth_3,424
ComponentExtension,0
OperationParameter,0
Properties_Depth_2,2547
Format_byte_Depth_1,4
ServerExtension,0
OperationExtension,41
RequestBodyContent,19
Encoding,0
ResponsesExtension,0
Format_int64_Depth_1,73
SecurityScheme_In_header,1
ResponseCode_401,19
ResponseContent,129
ResponseCode_200,19
MinLength_Depth_3,32
Items_Depth_3,44
Enum_Depth_4,0
SchemaComponent,67
LinkComponent,0
Server,1
Path_Post,19
MinLength_Depth_1,93
PathExtension,0
MaxLength_Depth_3,32
ResponseComponent,0
ExampleComponent,24
