OpenAPI feature,Count
Properties_Depth_3,4
ExampleComponent,4
SchemaType_integer,61
SchemaType_string,248
RequiredSchema_Depth_2,22
RefSchema_Depth_3,2
SchemaExtension_Depth_3,0
SchemaComponent,14
Path,6
MediaTypeExtension,0
SchemaType_boolean,32
Format_int64_Depth_2,4
SecuritySchemeExtension,0
SecurityScheme_Scheme_basic,1
SchemaExtension_Depth_1,0
Responses,6
PathExtension,0
ResponseLink,0
ResponseCode_500,6
GlobalWebhook,0
Path_Post,6
RequestBody,6
Header,0
Response,36
DeprecatedSchema_Depth_2,4
ResponseComponent,0
RequestBodyComponent,0
ComponentExtension,0
Properties_Depth_1,316
ResponseHeader,0
SchemaExtension_Depth_2,0
Enum_Depth_2,309
DeprecatedSchema_Depth_1,18
ResponseCode_401,6
Format_int32_Depth_2,2
RequiredSchema_Depth_3,4
GlobalExtension,1
ResponseCode_403,6
ResponseCode_422,6
ParameterComponent,0
SecurityScheme_In_header,1
SecurityScheme_Type_http,1
Items_Depth_1,23
Items_Depth_2,2
ServerExtension,0
RequiredSchema_Depth_1,44
ResponseCode_200,6
RequestBodyExtension,0
Callback,0
Server,1
Tag,0
Operation,6
MediaTypeEncoding,0
OperationExtension,12
RefSchema_Depth_1,50
Format_int64_Depth_1,15
Enum_Depth_3,46
Component,20
LinkComponent,0
Encoding,0
Link,0
Properties_Depth_2,44
ResponseExtension,0
SchemaType_array,25
PathServer,0
ResponseContent,36
OperationTag,6
OperationParameter,0
Example,8
ResponsesExtension,0
ResponseCode_400,6
CallbackComponent,0
HeaderComponent,0
SecurityScheme_Type_apiKey,1
RequestBodyContent,6
ResponseContent_application/json,36
PathParameter,0
Format_int32_Depth_1,40
RefSchema_Depth_2,13
ExampleExtension,0
SecuritySchemeComponent,2
ServerVariable,0
RequestBodyContent_application/json,6
Enum_Depth_1,104
