OpenAPI feature,Count
ResponseLink,0
Enum_Depth_3,0
Format_date-time_Depth_2,2
SecurityScheme_Type_http,1
SecurityScheme_Type_apiKey,1
GlobalWebhook,0
RequestBodyExtension,0
Response,18
ResponseCode_422,3
RequiredSchema_Depth_2,26
RequestBodyComponent,0
RefSchema_Depth_1,29
Responses,3
ResponseComponent,0
ComponentExtension,0
Path_Post,3
Format_int32_Depth_1,16
Items_Depth_2,2
SecurityScheme_Scheme_basic,1
Items_Depth_1,3
Schema_Depth_3,4
Properties_Depth_3,0
CallbackComponent,0
Path,3
RequestBody,3
RequestBodyContent_application/json,3
ResponseExtension,0
SchemaType_array,5
Schema_Depth_1,269
Format_date-time_Depth_1,6
ResponseCode_401,3
Callback,0
PathServer,0
OperationExtension,7
RequestBodyContent,3
AdditionalProperties_Depth_1,19
Example,8
ResponseContent_application/json,18
SchemaExtension_Depth_3,0
MinLength_Depth_2,16
AdditionalProperties_Depth_2,2
Server,1
Properties_Depth_2,80
SchemaExtension_Depth_1,38
SchemaType_integer,17
ResponseCode_403,3
Component,20
Enum_Depth_1,15
SchemaType_object,21
SchemaExtension_Depth_2,18
ResponseHeader,0
MaxLength_Depth_2,16
ResponsesExtension,0
PathExtension,0
SchemaComponent,14
ServerExtension,0
Operation,3
Encoding,0
RequiredSchema_Depth_1,50
MediaTypeExtension,0
GlobalExtension,1
OperationTag,3
Properties_Depth_1,234
Header,0
ParameterComponent,0
ExampleComponent,4
HeaderComponent,0
ServerVariable,0
SchemaType_string,279
MediaTypeEncoding,0
ResponseCode_500,3
Format_int64_Depth_1,1
PathParameter,0
RefSchema_Depth_2,10
SecuritySchemeComponent,2
Tag,0
MaxLength_Depth_1,33
ResponseContent,18
Link,0
ResponseCode_400,3
SecuritySchemeExtension,0
LinkComponent,0
OperationParameter,0
Schema_Depth_2,102
Enum_Depth_2,0
MinLength_Depth_1,33
ExampleExtension,0
ResponseCode_200,3
SecurityScheme_In_header,1
