OpenAPI feature,Count
MinItems_Depth_1,4
ResponseHeader,0
Items_Depth_1,81
MaxLength_Depth_1,24
SecuritySchemeComponent,1
Pattern_Depth_3,6
RequiredSchema_Depth_4,6
Component,199
ParameterComponent,7
RefSchema_Depth_1,607
Path_Get,11
RefSchema_Depth_3,315
Enum_Depth_4,84
Schema_Depth_1,1923
ResponseCode_483,28
Path_Delete,3
MaxLength_Depth_2,9
ExampleComponent,0
Properties_Depth_2,478
Pattern_Depth_2,34
RefSchema_Depth_4,57
MaxItems_Depth_3,18
Path,19
SchemaExtension_Depth_1,0
MediaTypeEncoding,0
ParameterExtension,0
RequiredSchema_Depth_1,278
MediaTypeExtension,0
AllOf_Depth_1,440
SchemaType_array,186
Schema_Depth_3,699
LinkComponent,0
ResponsesExtension,0
PathExtension,0
Items_Depth_3,27
MinLength_Depth_2,9
GlobalWebhook,0
ResponseExtension,0
RequiredRequestBody,13
Responses,28
ResponseCode_480,28
PathServer,0
Path_Put,8
SchemaType_boolean,85
ResponseComponent,0
Server,4
RequestBodyContent_application/json,13
header_Parameter,140
AdditionalProperties_Depth_1,52
Properties_Depth_3,198
ResponseCode_485,5
SecurityScheme_In_header,1
Schema_Depth_2,1555
RequiredSchema_Depth_3,88
AdditionalProperties_Depth_3,12
Properties_Depth_1,491
Example,0
AdditionalProperties_Depth_2,39
RequestBodyComponent,0
SecuritySchemeExtension,1
MinLength_Depth_1,24
Schema_Depth_4,93
Properties_Depth_4,18
SchemaExtension_Depth_3,0
OperationExtension,0
OperationParameter,46
Link,0
ResponseCode_200,28
RequiredSchema_Depth_2,206
ExternalDocExtension,0
AllOf_Depth_2,472
path_Parameter,18
RequiredParameter,24
MaxItems_Depth_2,39
MaxItems_Depth_1,4
Operation,28
ResponseCode_486,2
query_Parameter,28
ResponseContent_application/json,162
AllOf_Depth_4,18
Enum_Depth_2,229
SchemaExtension_Depth_4,0
GlobalSecurity,1
SchemaType_string,989
Enum_Depth_3,90
Minimum_Depth_1,2
GlobalExternalDoc,1
ServerExtension,0
RequestBody,13
ResponseContent,162
RefSchema_Depth_2,611
MinItems_Depth_3,18
SecurityScheme_Type_apiKey,1
Path_Post,6
SchemaType_object,531
HeaderComponent,0
CallbackComponent,0
RequestBodyContent,13
Response,169
Callback,0
Items_Depth_2,78
MinItems_Depth_2,39
SchemaComponent,191
ResponseCode_482,28
ResponseCode_481,28
AllOf_Depth_3,192
Pattern_Depth_1,90
SchemaType_integer,84
PathParameter,133
ServerVariable,4
Format_date-time_Depth_2,33
Encoding,0
Header,0
Enum_Depth_1,328
RequestBodyExtension,0
ResponseLink,0
GlobalExtension,1
Tag,0
ResponseCode_484,22
SchemaExtension_Depth_2,0
Format_date-time_Depth_1,57
ComponentExtension,0
