OpenAPI feature,Count
ExampleComponent,0
ServerExtension,0
RequestBodyExtension,0
RefSchema_Depth_1,310
Responses,15
GlobalExternalDoc,1
Server,4
SchemaType_object,116
CallbackComponent,0
GlobalSecurity,1
RefSchema_Depth_2,178
Pattern_Depth_2,56
OperationExtension,0
RequestBodyContent_application/json,14
Format_password_Depth_1,9
ResponseLink,0
Header,0
ResponseContent_application/json,65
ResponseCode_480,15
ResponseCode_200,15
ParameterComponent,7
Properties_Depth_1,231
MaxLength_Depth_1,90
MediaTypeEncoding,0
Response,72
GlobalWebhook,0
query_Parameter,2
Maximum_Depth_1,3
HeaderComponent,0
LinkComponent,0
RequiredSchema_Depth_2,49
Format_date-time_Depth_1,23
Enum_Depth_3,0
SchemaExtension_Depth_3,0
GlobalExtension,1
RequiredRequestBody,14
ResponseContent,65
PathExtension,0
SecuritySchemeComponent,1
PathServer,0
AllOf_Depth_2,118
ResponseCode_482,10
MaxLength_Depth_2,56
SchemaExtension_Depth_2,0
RefSchema_Depth_3,8
Path,15
OperationParameter,17
Enum_Depth_1,368
Example,0
Component,101
RequestBodyComponent,0
ComponentExtension,0
MaxItems_Depth_1,28
ResponseCode_486,3
SchemaType_integer,9
MinLength_Depth_1,90
ResponseCode_484,4
SecurityScheme_In_header,1
Tag,0
RequestBody,14
RequestBodyContent,14
RequiredSchema_Depth_1,62
ResponseComponent,0
ResponsesExtension,0
Callback,0
Items_Depth_1,60
Enum_Depth_2,281
ResponseCode_483,7
Path_Post,15
Encoding,0
ResponseCode_481,14
SchemaType_array,68
MediaTypeExtension,0
Link,0
ResponseCode_485,4
SchemaComponent,93
SchemaType_string,452
SchemaExtension_Depth_1,0
ParameterExtension,0
Pattern_Depth_1,78
Properties_Depth_2,118
MinLength_Depth_2,56
SecurityScheme_Type_apiKey,1
ExternalDocExtension,0
Operation,15
RequiredParameter,15
ResponseHeader,0
ResponseExtension,0
MinItems_Depth_1,28
Minimum_Depth_1,9
Items_Depth_2,8
Properties_Depth_3,0
ServerVariable,4
header_Parameter,127
AllOf_Depth_1,231
PathParameter,105
SecuritySchemeExtension,1
