OpenAPI feature,Count
CallbackComponent,0
MinProperties_Depth_1,27
path_Parameter,55
MediaTypeEncoding,0
Path_Post,14
Enum_Depth_3,0
ParameterComponent,7
RequestBodyComponent,0
OperationExtension,0
Format_date-time_Depth_1,128
GlobalWebhook,0
RefSchema_Depth_2,631
MinLength_Depth_1,298
ResponseCode_482,37
Format_password_Depth_2,9
Enum_Depth_1,392
ResponseContent,201
SchemaType_object,387
Schema_Depth_2,1533
Enum_Depth_2,118
RefSchema_Depth_3,64
Pattern_Depth_1,57
Header,0
RequestBodyContent,14
Properties_Depth_3,27
GlobalExternalDoc,1
ResponsesExtension,0
MinProperties_Depth_2,6
ResponseComponent,0
RequiredParameter,56
AllOf_Depth_1,1128
PathParameter,140
MinItems_Depth_1,2
GlobalExtension,1
RequiredSchema_Depth_3,21
MaxProperties_Depth_2,6
SchemaComponent,206
header_Parameter,147
Link,0
RequiredSchema_Depth_2,272
SchemaExtension_Depth_2,0
ExampleComponent,0
ResponseCode_480,37
MinLength_Depth_3,28
MaxItems_Depth_1,33
SecuritySchemeComponent,1
Example,0
RequiredSchema_Depth_1,613
AllOf_Depth_2,451
Operation,37
Response,201
SchemaType_array,122
MaxLength_Depth_3,52
MaxItems_Depth_2,6
LinkComponent,0
Path_Get,15
ResponseHeader,0
RequestBodyExtension,0
Path,20
MediaTypeExtension,0
MaxLength_Depth_1,749
Maximum_Depth_1,8
ResponseContent_application/json,201
ResponseCode_485,3
SecuritySchemeExtension,1
Encoding,0
Items_Depth_1,104
Format_password_Depth_1,51
SchemaType_boolean,252
ParameterExtension,0
ResponseExtension,0
ResponseCode_481,37
MinLength_Depth_2,176
SchemaType_integer,8
Responses,37
Callback,0
PathExtension,0
Tag,0
AdditionalProperties_Depth_2,19
Schema_Depth_3,118
Component,214
SecurityScheme_In_header,1
OperationParameter,71
MaxLength_Depth_2,402
SecurityScheme_Type_apiKey,1
ResponseCode_483,30
Pattern_Depth_2,8
AllOf_Depth_3,27
SchemaExtension_Depth_1,0
RequestBody,14
ResponseCode_484,20
ResponseCode_200,37
RequestBodyContent_application/json,14
PathServer,0
query_Parameter,16
ServerVariable,4
SchemaType_string,1634
ResponseLink,0
Properties_Depth_2,451
HeaderComponent,0
Server,4
Path_Delete,8
Format_date-time_Depth_2,44
GlobalSecurity,1
ExternalDocExtension,0
SchemaExtension_Depth_3,0
Properties_Depth_1,1240
RefSchema_Depth_1,1343
AdditionalProperties_Depth_1,76
Items_Depth_2,18
ComponentExtension,0
Schema_Depth_1,4135
RequiredRequestBody,14
MaxProperties_Depth_1,27
Minimum_Depth_1,8
ServerExtension,0
