OpenAPI feature,Count
MinLength_Depth_2,41
LinkComponent,0
RequestBody,7
RequestBodyComponent,0
SecurityScheme_In_header,1
RequiredSchema_Depth_1,115
ResponseCode_481,19
Callback,0
SecuritySchemeExtension,1
Response,151
AllOf_Depth_2,235
PathServer,0
ServerExtension,0
OperationParameter,39
SchemaComponent,100
ResponseCode_487,7
ResponseHeader,0
RefSchema_Depth_1,789
RequestBodyContent_application/json,7
ResponseLink,0
SecuritySchemeComponent,1
GlobalWebhook,0
MaxLength_Depth_1,119
Items_Depth_1,74
Enum_Depth_2,60
ResponseCode_480,19
ResponseContent,151
Format_date-time_Depth_1,71
SchemaExtension_Depth_2,0
SecurityScheme_Type_apiKey,1
GlobalExternalDoc,1
Properties_Depth_2,235
ResponseCode_486,11
query_Parameter,8
RequestBodyContent,7
RequiredSchema_Depth_2,75
HeaderComponent,0
Path,8
SchemaExtension_Depth_1,0
Maximum_Depth_2,107
ParameterComponent,7
GlobalSecurity,1
ExternalDocExtension,0
MinLength_Depth_1,119
ResponseCode_200,19
ResponseContent_application/json,151
Enum_Depth_1,136
Header,0
Link,0
RequestBodyExtension,0
MaxItems_Depth_1,15
ServerVariable,4
Tag,0
SchemaType_string,565
CallbackComponent,0
AllOf_Depth_1,638
SchemaType_array,74
RefSchema_Depth_2,309
PathExtension,0
Server,4
ParameterExtension,0
Responses,19
RequiredParameter,31
PathParameter,56
Minimum_Depth_2,107
MediaTypeExtension,0
MediaTypeEncoding,0
ResponseExtension,0
ResponseCode_482,19
Path_Get,8
Operation,19
Properties_Depth_1,655
Component,108
ExampleComponent,0
ResponseCode_483,19
Path_Delete,4
Maximum_Depth_1,26
MaxLength_Depth_2,41
ResponseCode_484,19
ResponseCode_485,19
header_Parameter,63
Minimum_Depth_1,26
OperationExtension,0
Example,0
SchemaType_integer,169
ResponseComponent,0
ResponsesExtension,0
SchemaType_object,375
Path_Put,7
RequiredRequestBody,7
ComponentExtension,0
GlobalExtension,0
path_Parameter,31
Encoding,0
