OpenAPI feature,Count
Properties_Depth_2,65
ResponseCode_480,13
Pattern_Depth_2,15
Format_date-time_Depth_2,3
Component,77
LinkComponent,0
GlobalSecurity,1
RequestBodyContent,13
RequiredSchema_Depth_1,69
Link,0
SecuritySchemeExtension,1
RequestBodyContent_application/json,13
Schema_Depth_2,220
ResponseComponent,0
ParameterComponent,7
RequiredSchema_Depth_2,35
header_Parameter,111
Schema_Depth_1,711
RequestBodyExtension,0
Pattern_Depth_1,55
MediaTypeExtension,0
ResponseCode_486,10
PathServer,0
ExternalDocExtension,0
ResponseHeader,0
ServerVariable,4
Tag,0
Path,13
Properties_Depth_1,140
ParameterExtension,0
RequiredRequestBody,13
MediaTypeEncoding,0
SchemaType_array,25
OperationParameter,17
ResponsesExtension,0
ResponseContent,94
MaxLength_Depth_2,23
Format_date-time_Depth_1,6
SecurityScheme_Type_apiKey,1
Path_Post,13
RequiredParameter,13
Example,20
ServerExtension,0
Format_password_Depth_2,20
Minimum_Depth_1,5
MinLength_Depth_1,16
ComponentExtension,0
GlobalExternalDoc,1
SchemaType_string,319
ResponseContent_application/json,94
ResponseCode_482,13
ResponseCode_483,12
ResponseCode_485,10
PathExtension,0
RefSchema_Depth_2,90
OperationExtension,0
SchemaExtension_Depth_1,0
ResponseCode_200,13
MaxItems_Depth_1,13
Items_Depth_1,25
Server,4
ResponseExtension,0
SchemaExample_Depth_1,20
AllOf_Depth_2,65
PathParameter,91
Enum_Depth_1,117
RequestBody,13
Responses,13
Response,94
ResponseCode_481,13
Header,0
ResponseLink,0
RequestBodyComponent,0
HeaderComponent,0
SecuritySchemeComponent,1
SchemaType_object,77
Enum_Depth_2,78
query_Parameter,4
Maximum_Depth_1,8
SchemaComponent,69
Operation,13
Encoding,0
ResponseCode_484,10
SchemaType_integer,8
MaxLength_Depth_1,25
Format_password_Depth_1,10
SchemaType_boolean,3
GlobalExtension,1
RefSchema_Depth_1,247
AllOf_Depth_1,140
Callback,0
MinItems_Depth_1,13
MinLength_Depth_2,20
SchemaExtension_Depth_2,0
ExampleComponent,0
SecurityScheme_In_header,1
CallbackComponent,0
GlobalWebhook,0
