OpenAPI feature,Count
AllOf_Depth_1,194
ResponseHeader,0
ResponseCode_200,20
ParameterComponent,7
ExampleComponent,0
SecuritySchemeComponent,1
Tag,0
OperationParameter,20
PathServer,0
AllOf_Depth_2,10
SecurityScheme_Type_apiKey,1
GlobalExtension,1
SchemaType_object,86
Header,0
ResponseCode_482,19
CallbackComponent,0
ServerExtension,0
MinLength_Depth_2,13
MediaTypeEncoding,0
MinLength_Depth_1,11
ExternalDocExtension,0
PathExtension,0
Component,88
Encoding,0
Enum_Depth_1,61
SchemaExtension_Depth_1,0
RequestBody,20
RequestBodyContent_application/json,20
Pattern_Depth_1,180
SecurityScheme_In_header,1
GlobalSecurity,1
GlobalWebhook,0
Properties_Depth_1,198
Link,0
ResponseComponent,0
SecuritySchemeExtension,1
SchemaType_string,406
RequestBodyExtension,0
Response,78
Callback,0
PathParameter,140
SchemaComponent,80
ComponentExtension,0
Properties_Depth_2,10
Responses,20
ResponsesExtension,0
LinkComponent,0
RequiredRequestBody,20
SchemaType_array,36
ResponseLink,0
RequestBodyComponent,0
GlobalExternalDoc,1
header_Parameter,167
SchemaExtension_Depth_2,0
RequiredSchema_Depth_2,10
MaxLength_Depth_1,11
OperationExtension,0
RefSchema_Depth_2,46
Path,20
Example,0
RequiredSchema_Depth_1,62
MaxLength_Depth_2,13
MediaTypeExtension,0
ResponseCode_480,20
ResponseExtension,0
RequiredParameter,20
ParameterExtension,0
ResponseContent,78
ResponseCode_481,19
HeaderComponent,0
Server,4
Path_Post,20
Operation,20
RequestBodyContent,20
RefSchema_Depth_1,296
Pattern_Depth_2,28
ServerVariable,4
Items_Depth_1,36
Enum_Depth_2,0
ResponseContent_application/json,78
