OpenAPI feature,Count
AllOf_Depth_2,209
GlobalSecurity,1
Format_date-time_Depth_1,32
Pattern_Depth_3,33
ServerExtension,0
Path_Post,15
AdditionalProperties_Depth_1,13
MaxLength_Depth_1,93
GlobalExtension,1
SchemaExtension_Depth_3,0
Server,4
SchemaType_boolean,15
RefSchema_Depth_3,53
Path,15
SchemaType_array,58
PathParameter,105
GlobalWebhook,0
ResponseCode_482,15
ExampleComponent,0
RequestBodyContent,15
SchemaType_object,169
ResponseCode_484,15
ResponseCode_483,15
ResponseCode_485,7
MinLength_Depth_2,55
AllOf_Depth_1,392
Link,0
RefSchema_Depth_2,266
MaxLength_Depth_2,73
Maximum_Depth_1,9
AllOf_Depth_3,36
SecuritySchemeComponent,1
RequestBody,15
Example,0
RequiredSchema_Depth_2,57
OperationExtension,0
RequiredParameter,15
Responses,15
MinItems_Depth_2,6
MediaTypeEncoding,0
MinItems_Depth_1,29
MaxItems_Depth_1,29
Enum_Depth_2,85
SchemaComponent,83
MediaTypeExtension,0
ResponseExtension,0
LinkComponent,0
ResponseContent,97
CallbackComponent,0
Items_Depth_1,44
Callback,0
MaxLength_Depth_3,12
ResponseComponent,0
ParameterComponent,7
ParameterExtension,0
RequiredSchema_Depth_1,58
ResponsesExtension,0
ResponseCode_200,15
Component,91
SecurityScheme_In_header,1
ResponseContent_application/json,97
SchemaType_integer,9
Format_date-time_Depth_2,12
SecuritySchemeExtension,1
RefSchema_Depth_1,508
ResponseCode_480,15
ResponseLink,0
Properties_Depth_2,209
Pattern_Depth_2,159
SchemaExtension_Depth_2,0
PathServer,0
Encoding,0
RequiredSchema_Depth_3,15
ComponentExtension,0
Minimum_Depth_1,9
Properties_Depth_1,396
RequiredRequestBody,15
RequestBodyComponent,0
header_Parameter,127
Enum_Depth_3,15
Properties_Depth_3,36
Operation,15
ResponseCode_481,15
SecurityScheme_Type_apiKey,1
SchemaType_string,704
SchemaExtension_Depth_1,0
Pattern_Depth_1,237
Header,0
PathExtension,0
ServerVariable,4
MinLength_Depth_3,12
query_Parameter,6
MaxItems_Depth_2,6
ExternalDocExtension,0
Response,97
RequestBodyContent_application/json,15
Items_Depth_2,14
AdditionalProperties_Depth_2,3
MinLength_Depth_1,25
Tag,0
Enum_Depth_1,178
RequestBodyExtension,0
ResponseHeader,0
HeaderComponent,0
GlobalExternalDoc,1
OperationParameter,21
