OpenAPI feature,Count
MaxLength_Depth_1,176
GlobalSecurity,1
GlobalWebhook,0
Operation,44
ResponseContent,172
ResponseExtension,128
AllOf_Depth_1,624
Schema_Depth_3,164
SchemaExtension_Depth_3,0
OperationParameter,122
RequestBody,22
SchemaExtension_Depth_2,0
RefSchema_Depth_3,68
SecurityScheme_Type_apiKey,1
Responses,44
ResponseLink,0
PathServer,0
AdditionalProperties_Depth_2,12
MinLength_Depth_1,176
RefSchema_Depth_1,1147
ResponseCode_500,44
AdditionalProperties_Depth_1,3
SchemaExtension_Depth_4,0
ExampleComponent,0
SchemaType_string,1054
PathParameter,154
AllOf_Depth_3,48
MinLength_Depth_3,36
Server,4
Pattern_Depth_2,78
Minimum_Depth_2,24
Header,0
MediaTypeExtension,0
Link,0
RequiredSchema_Depth_1,468
Callback,0
Schema_Depth_2,977
Enum_Depth_2,72
RefSchema_Depth_4,4
MaxLength_Depth_4,4
GlobalExtension,1
ResponseHeader,0
MinLength_Depth_2,121
Properties_Depth_2,344
Enum_Depth_3,12
RequestBodyContent,22
RefSchema_Depth_2,385
ServerExtension,0
Schema_Depth_1,2781
Enum_Depth_1,304
ResponseCode_480,44
MediaTypeEncoding,0
Format_date-time_Depth_2,16
RequiredSchema_Depth_3,16
ResponsesExtension,0
SchemaType_object,575
SchemaType_integer,118
query_Parameter,122
RequiredParameter,119
AllOf_Depth_2,296
Component,111
header_Parameter,161
PathExtension,0
Items_Depth_1,38
Example,0
ResponseCode_200,44
MaxLength_Depth_3,36
SecurityScheme_In_header,1
ServerVariable,4
RequestBodyContent_text/xml,22
RequiredSchema_Depth_2,116
Schema_Depth_4,4
SchemaExtension_Depth_1,0
Properties_Depth_3,52
MinLength_Depth_4,4
HeaderComponent,0
Path,22
Properties_Depth_4,0
ResponseComponent,0
Items_Depth_2,4
Enum_Depth_4,0
ParameterExtension,0
Properties_Depth_1,953
ResponseContent_text/xml,172
Minimum_Depth_1,94
Path_Post,22
MaxLength_Depth_2,121
OperationExtension,44
RequestBodyExtension,0
CallbackComponent,0
Response,172
Format_date-time_Depth_1,115
ResponseCode_409,40
SecuritySchemeComponent,1
SecuritySchemeExtension,1
LinkComponent,0
ParameterComponent,7
Path_Get,22
Pattern_Depth_3,16
SchemaComponent,103
AdditionalProperties_Depth_3,4
Pattern_Depth_1,128
SchemaType_boolean,201
SchemaType_array,42
RequestBodyComponent,0
Tag,0
Encoding,0
ComponentExtension,0
GlobalExternalDoc,1
ExternalDocExtension,0
