OpenAPI feature,Count
Header,0
Properties_Depth_2,77
MaxItems_Depth_1,34
ExternalDocExtension,0
Properties_Depth_1,143
ResponseCode_200,12
ResponseHeader,0
Component,66
ParameterComponent,7
SecurityScheme_Type_apiKey,1
SchemaType_object,83
SchemaType_array,46
Items_Depth_2,6
Properties_Depth_3,0
header_Parameter,103
SchemaType_integer,5
ResponseCode_482,2
AllOf_Depth_2,77
RefSchema_Depth_3,6
Items_Depth_1,40
MaxLength_Depth_2,77
Callback,0
RequiredSchema_Depth_2,35
ServerExtension,0
Path,12
Pattern_Depth_1,95
RefSchema_Depth_2,117
ResponseCode_480,10
MinItems_Depth_2,6
ExampleComponent,0
RequestBody,12
RequiredRequestBody,12
Response,31
PathExtension,0
RequestBodyComponent,0
HeaderComponent,0
ServerVariable,4
OperationParameter,16
MinLength_Depth_2,77
PathParameter,84
SchemaExtension_Depth_3,0
ResponseComponent,0
SecuritySchemeComponent,1
CallbackComponent,0
query_Parameter,4
Enum_Depth_1,63
Responses,12
MediaTypeEncoding,0
ResponseContent_application/json,31
ResponseLink,0
Link,0
Schema_Depth_3,6
Encoding,0
SchemaExtension_Depth_1,0
RequestBodyContent,12
Enum_Depth_3,0
Schema_Depth_2,271
Pattern_Depth_2,77
SchemaExtension_Depth_2,0
RequiredSchema_Depth_1,56
Server,4
Example,0
MaxLength_Depth_1,95
Maximum_Depth_1,5
MediaTypeExtension,0
MinItems_Depth_1,34
ResponseCode_483,1
ResponseCode_481,6
Tag,0
OperationExtension,0
ParameterExtension,0
Pattern_Depth_3,6
SecurityScheme_In_header,1
AllOf_Depth_1,139
Minimum_Depth_1,5
Enum_Depth_2,27
ResponseExtension,0
SecuritySchemeExtension,1
GlobalExtension,1
Path_Post,12
RequestBodyContent_application/json,12
LinkComponent,0
MaxItems_Depth_2,6
ComponentExtension,0
Operation,12
RequestBodyExtension,0
MinLength_Depth_1,95
MinLength_Depth_3,6
GlobalSecurity,1
GlobalExternalDoc,1
GlobalWebhook,0
Schema_Depth_1,629
ResponseContent,31
PathServer,0
ResponsesExtension,0
MaxLength_Depth_3,6
SchemaComponent,58
SchemaType_string,316
RequiredParameter,12
RefSchema_Depth_1,186
