OpenAPI feature,Count
RefSchema_Depth_2,950
Header,0
ResponseCode_481,101
Properties_Depth_1,2915
Pattern_Depth_3,18
OperationExtension,0
Encoding,0
RequestBody,101
PathServer,0
SecurityScheme_Type_apiKey,1
ResponseCode_482,101
RefSchema_Depth_3,63
SchemaType_boolean,239
SchemaComponent,459
GlobalExternalDoc,1
Pattern_Depth_1,1216
ResponseCode_493,12
ResponseCode_489,20
SchemaType_array,320
MinLength_Depth_3,21
HeaderComponent,0
Tag,0
ResponseCode_480,101
Enum_Depth_3,22
SchemaExtension_Depth_3,0
RequestBodyComponent,0
ComponentExtension,0
RequiredParameter,101
SchemaType_object,1128
Response,879
Component,467
ServerVariable,4
Format_password_Depth_1,222
ResponseCode_484,97
AllOf_Depth_2,559
query_Parameter,18
MaxItems_Depth_2,3
Pattern_Depth_2,239
SecuritySchemeExtension,1
SchemaExtension_Depth_1,0
PathParameter,707
MaxLength_Depth_3,31
ParameterComponent,7
ResponseCode_485,69
ResponseCode_495,5
AllOf_Depth_3,42
MaxItems_Depth_1,120
header_Parameter,815
RequiredSchema_Depth_1,680
SchemaExtension_Depth_2,0
Format_date-time_Depth_1,131
ResponseExtension,0
RequiredSchema_Depth_3,16
ParameterExtension,0
AdditionalProperties_Depth_1,92
ResponseLink,0
Format_password_Depth_3,10
ResponseCode_497,3
ExternalDocExtension,0
OperationParameter,119
RequestBodyExtension,0
Properties_Depth_2,559
ResponseCode_492,15
Path_Post,101
RequestBodyContent,101
MaxLength_Depth_1,1133
Callback,0
Operation,101
SchemaType_string,3502
ResponseCode_486,47
ResponseCode_498,2
MinItems_Depth_1,78
RequiredSchema_Depth_2,89
LinkComponent,0
ResponseContent_application/json,868
ResponseCode_499,2
Server,4
Properties_Depth_3,42
Path,101
RefSchema_Depth_1,3884
ResponseCode_494,8
Items_Depth_2,21
Maximum_Depth_2,11
Responses,101
ResponseCode_483,100
Example,0
ResponseCode_491,16
AllOf_Depth_1,2915
Enum_Depth_2,468
MediaTypeExtension,0
ResponseCode_496,3
SchemaType_integer,182
ServerExtension,0
Enum_Depth_1,1088
RequestBodyContent_application/json,101
ResponseCode_488,25
ResponseCode_490,19
Maximum_Depth_1,102
CallbackComponent,0
ResponseHeader,0
ResponseContent,868
ResponseCode_487,32
PathExtension,0
Minimum_Depth_2,16
GlobalExtension,1
MinLength_Depth_2,294
MaxLength_Depth_2,324
Format_date-time_Depth_2,62
RequiredRequestBody,101
MinLength_Depth_1,1170
MediaTypeEncoding,0
ResponseCode_200,101
ExampleComponent,0
GlobalWebhook,0
ResponsesExtension,0
Link,0
Minimum_Depth_1,114
Format_password_Depth_2,33
SecuritySchemeComponent,1
SecurityScheme_In_header,1
GlobalSecurity,1
Items_Depth_1,299
ResponseComponent,0
