OpenAPI feature,Count
OperationExtension,0
Example,0
RequestBodyExtension,0
RefSchema_Depth_1,44
SchemaExtension_Depth_2,0
Path_Post,1
Properties_Depth_1,42
Response,6
Schema_Depth_2,170
RequiredSchema_Depth_4,6
Properties_Depth_4,6
SchemaType_integer,49
MaxItems_Depth_2,9
Enum_Depth_4,0
PathServer,0
AdditionalProperties_Depth_1,3
GlobalExtension,0
RefSchema_Depth_3,30
MinProperties_Depth_1,3
SecurityScheme_Type_apiKey,1
OperationParameter,2
Header,0
MinItems_Depth_2,9
PathParameter,7
SecuritySchemeComponent,1
ServerVariable,4
MediaTypeEncoding,0
Schema_Depth_4,21
MinProperties_Depth_2,3
ParameterComponent,7
GlobalWebhook,0
Minimum_Depth_1,15
Callback,0
Enum_Depth_2,9
AllOf_Depth_2,52
RequiredSchema_Depth_2,43
Pattern_Depth_3,3
query_Parameter,2
RequiredSchema_Depth_1,32
Items_Depth_1,11
Pattern_Depth_2,15
ResponseCode_482,1
SchemaComponent,31
SchemaExtension_Depth_1,0
SchemaType_array,23
RefSchema_Depth_2,66
PathExtension,0
Component,39
ExampleComponent,0
Tag,0
AllOf_Depth_3,18
GlobalExternalDoc,1
Server,4
Items_Depth_2,9
SecuritySchemeExtension,1
ExternalDocExtension,0
ServerExtension,0
Encoding,0
RequiredRequestBody,1
ResponseCode_483,1
RefSchema_Depth_4,9
MinLength_Depth_2,15
SchemaType_string,64
ResponseCode_484,1
MaxLength_Depth_1,21
ResponseContent_application/json,6
Items_Depth_3,3
MaxItems_Depth_3,3
MaxLength_Depth_2,12
ResponseComponent,0
RequestBody,1
ResponseLink,0
MaxItems_Depth_1,11
MaxProperties_Depth_2,3
Path,1
RequestBodyContent_application/json,1
RequestBodyContent,1
Pattern_Depth_1,24
Maximum_Depth_1,3
MinItems_Depth_1,11
MinLength_Depth_3,3
AdditionalProperties_Depth_2,3
ParameterExtension,0
Link,0
AllOf_Depth_1,38
MinLength_Depth_1,24
RequestBodyComponent,0
CallbackComponent,0
ResponseHeader,0
Enum_Depth_3,0
header_Parameter,14
SchemaType_object,55
ResponseCode_200,1
MaxProperties_Depth_1,3
ResponsesExtension,0
ResponseCode_480,1
Properties_Depth_2,52
Minimum_Depth_4,6
SecurityScheme_In_header,1
GlobalSecurity,1
ResponseContent,6
ResponseExtension,0
Minimum_Depth_2,16
HeaderComponent,0
ComponentExtension,0
MaxLength_Depth_3,3
ResponseCode_481,1
Operation,1
Schema_Depth_1,172
MediaTypeExtension,0
Schema_Depth_3,66
SchemaExtension_Depth_3,0
RequiredSchema_Depth_3,18
Minimum_Depth_3,12
LinkComponent,0
Responses,1
Enum_Depth_1,9
Properties_Depth_3,18
MinItems_Depth_3,3
SchemaExtension_Depth_4,0
AllOf_Depth_4,6
