OpenAPI feature,Count
ParameterExtension,0
ResponseExtension,0
ResponseCode_484,1
ResponseCode_481,15
AllOf_Depth_2,143
Properties_Depth_1,93
RequestBody,13
SchemaType_integer,18
GlobalExtension,1
ServerExtension,0
Tag,0
Minimum_Depth_1,7
Properties_Depth_2,143
DeprecatedSchema_Depth_1,3
RefSchema_Depth_1,130
ResponseLink,0
MaxItems_Depth_1,12
ResponseComponent,0
Callback,0
SchemaType_string,319
ResponseContent,60
ResponseCode_200,13
Items_Depth_1,31
SchemaExtension_Depth_2,0
Operation,15
ResponseCode_480,15
ResponseHeader,0
RequiredSchema_Depth_1,30
Path_Post,12
Enum_Depth_2,63
SecurityScheme_Type_apiKey,1
SecuritySchemeExtension,1
AllOf_Depth_1,70
Component,64
ExampleComponent,0
Encoding,0
GlobalExternalDoc,1
RequiredRequestBody,13
RequestBodyContent,13
PathExtension,0
ServerVariable,4
Path,14
ExternalDocExtension,0
ResponsesExtension,0
ResponseContent_application/json,60
MaxLength_Depth_2,65
MaxLength_Depth_1,29
GlobalWebhook,0
Header,0
path_Parameter,3
RequestBodyExtension,0
Format_double_Depth_2,9
Format_date-time_Depth_1,6
header_Parameter,105
DeprecatedSchema_Depth_2,27
ResponseCode_204,2
HeaderComponent,0
GlobalSecurity,1
Response,65
MinProperties_Depth_1,7
SchemaType_object,81
query_Parameter,7
AdditionalProperties_Depth_1,7
SecurityScheme_In_header,1
Schema_Depth_2,467
MinLength_Depth_2,58
RequiredParameter,4
Path_Put,1
MaxProperties_Depth_1,7
RequiredSchema_Depth_2,6
OperationParameter,10
ParameterComponent,7
ResponseCode_483,6
SchemaType_boolean,3
Schema_Depth_1,477
RequestBodyContent_application/json,13
RequestBodyComponent,0
ComponentExtension,0
MinItems_Depth_1,12
Responses,15
Enum_Depth_1,14
SchemaExtension_Depth_1,0
MediaTypeExtension,0
Pattern_Depth_1,38
OperationExtension,0
Server,4
PathServer,0
LinkComponent,0
SchemaType_number,11
Path_Get,1
Path_Delete,1
SchemaType_array,31
MinLength_Depth_1,28
ResponseCode_482,13
CallbackComponent,0
Example,0
Maximum_Depth_1,7
Link,0
Pattern_Depth_2,70
MediaTypeEncoding,0
PathParameter,98
Format_double_Depth_1,2
SchemaComponent,56
SecuritySchemeComponent,1
RefSchema_Depth_2,181
Format_date-time_Depth_2,39
