OpenAPI feature,Count
ResponsesExtension,0
RequestBodyExtension,0
ParameterComponent,7
GlobalExternalDoc,1
ResponseExtension,0
ResponseCode_200,21
RequestBodyContent,13
Path_Put,5
MaxLength_Depth_3,28
SecurityScheme_In_header,1
MaxLength_Depth_1,122
ResponseContent,124
ResponseCode_485,4
MinItems_Depth_1,23
SecurityScheme_Type_apiKey,1
ResponseCode_481,21
MediaTypeEncoding,0
ExampleComponent,0
GlobalSecurity,1
AllOf_Depth_2,391
Items_Depth_2,62
Enum_Depth_3,298
AllOf_Depth_5,6
Enum_Depth_2,457
MinLength_Depth_2,98
PathParameter,119
RequestBodyComponent,0
ComponentExtension,0
Response,124
ResponseCode_482,21
header_Parameter,126
AllOf_Depth_4,31
Schema_Depth_5,21
Component,202
Link,0
MaxLength_Depth_2,98
PathExtension,0
ResponseComponent,0
HeaderComponent,0
Encoding,0
MediaTypeExtension,0
SchemaType_string,937
SchemaExtension_Depth_5,0
ServerExtension,0
Format_date-time_Depth_1,124
RefSchema_Depth_3,153
MinLength_Depth_3,28
GlobalExtension,0
Callback,0
Path_Delete,1
Schema_Depth_3,335
SchemaExtension_Depth_4,0
ParameterExtension,0
Schema_Depth_4,110
Responses,21
SchemaExtension_Depth_3,0
OperationParameter,19
ResponseHeader,0
ResponseContent_application/json,124
RefSchema_Depth_1,720
RefSchema_Depth_5,9
ResponseCode_480,21
Maximum_Depth_1,12
Path,17
Operation,21
MinLength_Depth_1,122
SchemaType_number,19
ResponseCode_486,1
SchemaExtension_Depth_1,0
Format_double_Depth_1,10
path_Parameter,6
Format_date-time_Depth_2,66
SecuritySchemeExtension,1
Items_Depth_1,117
Properties_Depth_2,434
SchemaType_integer,81
Pattern_Depth_3,28
Properties_Depth_4,31
Schema_Depth_1,2182
AllOf_Depth_3,91
Enum_Depth_4,0
GlobalWebhook,0
Path_Get,7
ResponseCode_483,21
RefSchema_Depth_2,551
MaxItems_Depth_1,23
Format_double_Depth_2,9
ServerVariable,4
RequestBody,13
SecuritySchemeComponent,1
Schema_Depth_2,1333
Enum_Depth_5,0
Properties_Depth_5,6
Tag,0
OperationExtension,0
query_Parameter,13
AllOf_Depth_1,541
SchemaExtension_Depth_2,0
Header,0
RequiredSchema_Depth_1,109
RequestBodyContent_application/json,13
RequiredSchema_Depth_2,33
Items_Depth_4,3
ExternalDocExtension,0
Server,4
Example,0
ResponseLink,0
Pattern_Depth_2,95
Path_Post,8
Items_Depth_3,17
RequiredRequestBody,13
RefSchema_Depth_4,48
LinkComponent,0
Pattern_Depth_1,120
SchemaType_array,199
PathServer,0
ResponseCode_484,14
SchemaComponent,194
RequiredParameter,6
Properties_Depth_1,624
Minimum_Depth_1,12
CallbackComponent,0
Enum_Depth_1,324
SchemaType_object,515
Properties_Depth_3,91
