OpenAPI feature,Count
MinProperties_Depth_2,3
LinkComponent,0
SchemaType_object,267
ResponseCode_481,8
RefSchema_Depth_3,293
SchemaExtension_Depth_2,0
Enum_Depth_3,144
Maximum_Depth_2,27
GlobalExtension,1
MaxItems_Depth_1,79
SchemaType_boolean,70
Callback,0
MediaTypeEncoding,0
PathExtension,0
SecurityScheme_Type_apiKey,1
Pattern_Depth_1,74
MaxItems_Depth_2,63
MinProperties_Depth_1,11
SchemaComponent,96
Minimum_Depth_1,22
ComponentExtension,0
Path_Patch,1
Minimum_Depth_2,71
Properties_Depth_2,326
RequiredSchema_Depth_3,81
RefSchema_Depth_4,9
MediaTypeExtension,0
ExampleComponent,0
GlobalExternalDoc,1
OperationExtension,0
Schema_Depth_1,957
Tag,0
Schema_Depth_2,1071
Response,34
RefSchema_Depth_1,288
MaxLength_Depth_2,107
MinLength_Depth_4,9
PathServer,0
query_Parameter,6
Maximum_Depth_1,7
Schema_Depth_4,9
Path_Post,2
Pattern_Depth_4,9
ResponseCode_482,8
MaxProperties_Depth_1,11
GlobalSecurity,1
SchemaType_array,160
AllOf_Depth_2,324
ResponsesExtension,0
Link,0
RequestBodyComponent,0
AllOf_Depth_3,216
SchemaExtension_Depth_4,0
RequestBody,3
MinItems_Depth_1,78
Items_Depth_1,86
Pattern_Depth_2,107
ResponseCode_480,8
SchemaType_string,520
SchemaExtension_Depth_1,0
header_Parameter,42
Enum_Depth_1,144
MinItems_Depth_2,56
Items_Depth_2,65
ResponseContent_application/json,34
Schema_Depth_3,725
MaxLength_Depth_3,104
ResponseCode_483,2
AdditionalProperties_Depth_1,11
Path,5
Example,0
path_Parameter,6
ExternalDocExtension,0
ResponseHeader,0
Server,4
Properties_Depth_3,225
Path_Get,3
MaxLength_Depth_1,74
Properties_Depth_1,264
Operation,8
Format_date-time_Depth_1,7
ResponseExtension,0
Pattern_Depth_3,104
MaxLength_Depth_4,9
Items_Depth_3,9
ResponseContent,34
Component,104
GlobalWebhook,0
RequestBodyExtension,0
Enum_Depth_2,223
RequestBodyContent,3
ParameterComponent,7
RequiredSchema_Depth_1,61
MinItems_Depth_3,9
Properties_Depth_4,0
AdditionalProperties_Depth_2,3
Path_Delete,2
HeaderComponent,0
ServerVariable,4
RequiredRequestBody,3
SecuritySchemeComponent,1
CallbackComponent,0
MinLength_Depth_3,101
Responses,8
MaxProperties_Depth_2,3
ParameterExtension,0
MinLength_Depth_2,96
MinLength_Depth_1,73
Minimum_Depth_3,36
Enum_Depth_4,0
Header,0
ResponseComponent,0
OperationParameter,12
Encoding,0
SchemaType_integer,129
SecuritySchemeExtension,1
AllOf_Depth_1,253
RequiredSchema_Depth_2,63
RequestBodyContent_application/json,3
RefSchema_Depth_2,423
SecurityScheme_In_header,1
SchemaExtension_Depth_3,0
ResponseLink,0
ResponseCode_200,8
PathParameter,35
ServerExtension,0
RequiredParameter,7
