OpenAPI feature,Count
RefSchema_Depth_2,1803
ResponseCode_485,9
GlobalExtension,1
ServerExtension,0
RequiredParameter,55
SchemaExtension_Depth_1,0
ResponseCode_481,34
PathServer,0
ResponseCode_488,4
DeprecatedSchema_Depth_2,6
ExampleComponent,0
ExternalDocExtension,0
MediaTypeExtension,0
query_Parameter,38
ParameterComponent,7
SecuritySchemeExtension,1
GlobalSecurity,1
ServerVariable,4
Encoding,0
Example,66
ResponseExtension,0
Items_Depth_2,68
Path_Post,55
ResponseLink,0
SchemaExample_Depth_1,66
ResponseCode_486,6
ComponentExtension,0
ResponseCode_491,1
CallbackComponent,0
MediaTypeEncoding,0
ResponseContent,212
ResponseContent_application/json,212
SchemaType_array,296
SchemaExtension_Depth_2,0
Format_date-time_Depth_2,69
HeaderComponent,0
RefSchema_Depth_1,5222
Response,212
ResponsesExtension,0
PathParameter,385
Enum_Depth_2,240
RequiredSchema_Depth_2,85
Link,0
Properties_Depth_2,1575
Enum_Depth_3,0
ResponseCode_487,4
Format_password_Depth_2,42
AllOf_Depth_3,48
SecurityScheme_Type_apiKey,1
RequiredRequestBody,55
RequiredSchema_Depth_1,212
ResponseHeader,0
ResponseCode_482,20
Items_Depth_1,228
AllOf_Depth_2,1572
ResponseCode_490,1
Component,266
header_Parameter,447
SchemaType_string,4688
Enum_Depth_1,1055
RefSchema_Depth_3,116
ResponseCode_484,12
Format_date-time_Depth_3,9
ResponseComponent,0
GlobalExternalDoc,1
Operation,55
Properties_Depth_1,4955
Properties_Depth_3,48
AllOf_Depth_1,4942
LinkComponent,0
PathExtension,0
GlobalWebhook,0
Server,4
OperationParameter,93
RequestBodyExtension,0
Format_date-time_Depth_1,175
ResponseCode_200,55
ResponseCode_480,49
Format_password_Depth_1,175
Path,55
ParameterExtension,0
RequestBodyContent,55
ResponseCode_483,14
SchemaType_integer,982
SchemaType_boolean,954
RequestBody,55
SchemaType_object,784
Callback,0
ResponseCode_489,3
RequestBodyContent_application/json,55
SecuritySchemeComponent,1
SchemaComponent,258
RequestBodyComponent,0
Tag,0
OperationExtension,0
Responses,55
Header,0
SchemaExtension_Depth_3,0
DeprecatedSchema_Depth_1,18
SecurityScheme_In_header,1
