OpenAPI feature,Count
ParameterComponent,7
SecurityScheme_In_header,1
Enum_Depth_1,2
MinLength_Depth_1,16
Pattern_Depth_1,11
ResponsesExtension,0
Callback,0
ResponseCode_485,1
ServerVariable,4
ExternalDocExtension,0
GlobalExtension,1
RequiredSchema_Depth_1,12
MaxLength_Depth_1,16
ExampleComponent,0
RefSchema_Depth_1,40
ResponseCode_482,2
ResponseCode_484,2
ResponseCode_487,1
SchemaComponent,20
ServerExtension,0
header_Parameter,23
SchemaExtension_Depth_1,0
RequestBodyExtension,0
ResponseLink,0
SchemaType_boolean,5
MediaTypeEncoding,0
ResponseHeader,0
SchemaExample_Depth_1,2
Maximum_Depth_1,3
ResponseCode_486,1
LinkComponent,0
RequestBody,2
SchemaType_integer,3
CallbackComponent,0
Responses,2
HeaderComponent,0
ResponseComponent,0
Properties_Depth_1,22
RequiredRequestBody,2
Response,16
Link,0
ResponseCode_200,2
ResponseCode_488,1
Path_Post,2
Schema_Depth_1,127
ComponentExtension,0
GlobalSecurity,1
SchemaType_string,44
RequestBodyContent,2
SchemaType_object,8
GlobalExternalDoc,1
OperationParameter,2
Encoding,0
Example,2
RequestBodyContent_application/json,2
ResponseCode_481,2
GlobalWebhook,0
Tag,0
Path,2
Operation,2
AllOf_Depth_1,22
SecurityScheme_Type_apiKey,1
OperationExtension,0
MediaTypeExtension,0
ResponseContent,16
ResponseContent_application/json,16
ResponseExtension,0
RequestBodyComponent,0
RequiredParameter,2
PathServer,0
PathParameter,14
PathExtension,0
Component,28
SecuritySchemeExtension,1
SecuritySchemeComponent,1
Server,4
ParameterExtension,0
ResponseCode_480,2
Header,0
ResponseCode_483,2
Minimum_Depth_1,3
