OpenAPI feature,Count
Tag,0
RefSchema_Depth_1,16861
SchemaExample_Depth_2,16
SchemaType_array,6057
SchemaType_integer,3686
Maximum_Depth_2,72
Properties_Depth_5,80
SchemaExample_Depth_3,4
RefSchema_Depth_2,18315
Callback,0
Enum_Depth_4,3696
MaxLength_Depth_3,73
Format_date-time_Depth_4,12
Path,465
ResponseExtension,0
XMLSchema_Depth_4,1150
MinLength_Depth_1,139
Path_Get,465
Operation,930
ParameterExtension,0
AllOf_Depth_2,18214
Response,930
MaxLength_Depth_4,36
RequestBodyComponent,0
SecurityScheme_Type_apiKey,1
Enum_Depth_2,51522
Path_Post,465
RequestBodyContent_text/xml,465
SchemaExtension_Depth_5,0
MinLength_Depth_4,36
GlobalSecurity,1
SchemaExtension_Depth_4,0
Pattern_Depth_2,72
CallbackComponent,0
Items_Depth_1,3564
SchemaExtension_Depth_2,0
Maximum_Depth_1,317
ResponseContent_text/xml,818
XMLSchema_Depth_1,11709
Format_float_Depth_1,5
MediaTypeExtension,0
AllOf_Depth_4,1200
MaxLength_Depth_2,121
AllOf_Depth_5,124
SchemaComponent,2348
SecurityScheme_In_header,1
LinkComponent,0
GlobalExtension,1
OperationExtension,930
Responses,930
PathExtension,0
RequiredSchema_Depth_2,91
Server,6
Format_double_Depth_4,16
Component,2356
Example,298
RequiredSchema_Depth_1,1048
Enum_Depth_5,0
MaxItems_Depth_2,8
Pattern_Depth_4,36
RefSchema_Depth_3,7908
Enum_Depth_3,19526
AllOf_Depth_1,15578
Link,0
RequestBodyContent,465
PathParameter,3255
MinLength_Depth_3,73
GlobalExternalDoc,1
SchemaType_object,10182
SchemaExtension_Depth_3,0
SchemaType_boolean,3132
Properties_Depth_4,841
MinLength_Depth_2,121
ExternalDocExtension,0
ResponseCode_200,930
Format_date-time_Depth_2,437
Pattern_Depth_3,65
SecuritySchemeComponent,1
MediaTypeEncoding,0
Format_date-time_Depth_1,395
Minimum_Depth_3,32
ServerExtension,0
Format_double_Depth_2,90
Maximum_Depth_3,32
ServerVariable,4
Format_double_Depth_3,82
RefSchema_Depth_5,124
OperationParameter,4140
ParameterComponent,7
Format_double_Depth_1,62
MinItems_Depth_1,51
DeprecatedSchema_Depth_1,1
ExampleComponent,0
GlobalWebhook,0
SchemaExtension_Depth_1,0
AllOf_Depth_3,7904
ResponseLink,0
SchemaType_number,271
DeprecatedSchema_Depth_2,4
header_Parameter,3262
RefSchema_Depth_4,1200
MaxLength_Depth_1,139
ResponseComponent,0
Enum_Depth_1,29983
RequestBody,465
Format_float_Depth_2,16
query_Parameter,4140
Format_password_Depth_1,4
ComponentExtension,0
SchemaType_string,30830
Properties_Depth_3,5818
PathServer,0
Items_Depth_4,44
XMLSchema_Depth_5,116
ResponseHeader,0
Minimum_Depth_2,84
RequiredParameter,2336
Format_date-time_Depth_3,56
Pattern_Depth_1,69
SecuritySchemeExtension,1
Properties_Depth_1,15578
XMLSchema_Depth_3,7677
SchemaExample_Depth_1,278
MinItems_Depth_2,8
Minimum_Depth_1,321
Header,0
Items_Depth_3,359
ResponsesExtension,0
ResponseContent,818
RequestBodyExtension,0
Encoding,0
Properties_Depth_2,14751
Items_Depth_2,2090
XMLExtension,0
XMLSchema_Depth_2,16967
MaxItems_Depth_1,47
HeaderComponent,0
