OpenAPI feature,Count
Schema_Depth_1,2384
SchemaType_string,981
Enum_Depth_1,184
Pattern_Depth_2,37
ParameterComponent,7
OperationExtension,0
RequiredRequestBody,34
RequestBodyContent,34
Pattern_Depth_1,204
MinLength_Depth_2,54
GlobalWebhook,0
Tag,0
RefSchema_Depth_1,781
ResponseCode_481,34
Minimum_Depth_3,3
Path,34
PathServer,0
AllOf_Depth_3,24
query_Parameter,10
SchemaType_boolean,21
RequestBodyComponent,0
SecurityScheme_In_header,1
ResponseContent_application/json,177
PathParameter,238
RequiredSchema_Depth_2,17
Properties_Depth_1,570
PathExtension,0
Minimum_Depth_1,28
OperationParameter,44
RefSchema_Depth_2,337
AdditionalProperties_Depth_2,3
GlobalExternalDoc,1
SchemaType_object,326
MediaTypeEncoding,0
Format_date-time_Depth_1,28
Schema_Depth_2,827
Responses,34
Schema_Depth_3,93
Enum_Depth_3,0
MinLength_Depth_3,22
ResponseCode_487,2
Encoding,0
Component,208
ResponseContent,177
ResponseCode_484,11
SchemaComponent,200
SecuritySchemeExtension,1
SchemaExtension_Depth_1,0
Callback,0
Items_Depth_2,18
ResponseCode_489,1
RequestBodyContent_application/json,34
SchemaType_array,101
Properties_Depth_2,248
MediaTypeExtension,0
Link,0
MaxItems_Depth_1,40
RequiredSchema_Depth_3,20
Minimum_Depth_2,9
AllOf_Depth_2,245
ResponseCode_483,18
MaxItems_Depth_2,12
Pattern_Depth_3,16
SchemaType_integer,50
Server,4
SchemaExtension_Depth_2,0
HeaderComponent,0
SecurityScheme_Type_apiKey,1
header_Parameter,279
Response,177
ResponseCode_200,34
AdditionalProperties_Depth_1,6
LinkComponent,0
RequestBody,34
AllOf_Depth_1,557
Header,0
ServerExtension,0
ExternalDocExtension,0
Operation,34
SchemaExtension_Depth_3,0
ResponseComponent,0
ResponseCode_485,5
MaxLength_Depth_3,22
Maximum_Depth_1,12
Format_date-time_Depth_2,18
ServerVariable,4
ParameterExtension,0
Items_Depth_1,83
ResponseExtension,0
ResponseLink,0
MinItems_Depth_1,40
Example,18
MinLength_Depth_1,161
DeprecatedSchema_Depth_1,2
CallbackComponent,0
GlobalSecurity,1
RequestBodyExtension,0
Enum_Depth_2,95
ResponseHeader,0
MinItems_Depth_2,12
MaxLength_Depth_1,161
ResponsesExtension,0
Properties_Depth_3,24
SchemaExample_Depth_1,18
ResponseCode_486,4
RequiredParameter,34
RefSchema_Depth_3,45
ResponseCode_480,34
MaxLength_Depth_2,54
ResponseCode_488,2
GlobalExtension,1
Path_Post,34
RequiredSchema_Depth_1,115
ResponseCode_482,32
ExampleComponent,0
SecuritySchemeComponent,1
ComponentExtension,0
