OpenAPI feature,Count
SchemaExtension_Depth_3,0
ResponseCode_483,20
Minimum_Depth_1,4
ServerVariable,4
Response,354
PathParameter,497
MinLength_Depth_1,11
Example,60
Format_date-time_Depth_2,16
RequiredSchema_Depth_1,398
Path,71
OperationParameter,441
Path_Post,71
RequestBodyExtension,0
RequestBodyContent_text/xml,67
SchemaExample_Depth_1,60
Items_Depth_1,183
AdditionalProperties_Depth_1,20
Server,4
ServerExtension,0
ParameterExtension,0
ResponseHeader,0
AllOf_Depth_1,875
RequiredSchema_Depth_2,286
SchemaType_boolean,100
Enum_Depth_1,482
SchemaExtension_Depth_1,0
ResponsesExtension,0
ResponseCode_480,76
ResponseCode_485,10
ParameterComponent,7
HeaderComponent,0
ComponentExtension,0
SchemaType_string,2277
ResponseExtension,0
ResponseLink,0
PathServer,0
header_Parameter,504
Enum_Depth_2,348
SchemaType_integer,35
ResponseCode_484,18
ResponseCode_481,52
LinkComponent,0
GlobalWebhook,0
Properties_Depth_1,888
Responses,142
RequestBody,67
Enum_Depth_3,79
MaxLength_Depth_1,18
SchemaType_number,12
ResponseContent,338
SchemaType_object,781
Callback,0
Properties_Depth_2,664
SchemaExtension_Depth_2,0
Maximum_Depth_1,4
SchemaComponent,312
SecurityScheme_Type_apiKey,1
ExternalDocExtension,0
ResponseContent_text/xml,338
RefSchema_Depth_1,1293
Link,0
RefSchema_Depth_3,263
RequiredSchema_Depth_3,98
AllOf_Depth_3,217
Tag,0
Encoding,0
PathExtension,0
SchemaType_array,229
Properties_Depth_3,217
Format_double_Depth_1,12
GlobalSecurity,1
Header,0
RefSchema_Depth_2,867
Items_Depth_2,46
ResponseCode_482,34
Component,320
ExampleComponent,0
RequestBodyComponent,0
ResponseCode_486,2
MinLength_Depth_2,11
SecuritySchemeComponent,1
CallbackComponent,0
OperationExtension,142
query_Parameter,441
RequestBodyContent,67
Format_date-time_Depth_1,23
SecuritySchemeExtension,1
MediaTypeEncoding,0
ResponseCode_200,142
MaxLength_Depth_2,11
GlobalExternalDoc,1
GlobalExtension,1
Path_Get,71
Operation,142
RequiredParameter,381
MediaTypeExtension,0
AllOf_Depth_2,660
ResponseComponent,0
SecurityScheme_In_header,1
