OpenAPI feature,Count
RequestBodyContent_application/json,51
ResponseCode_481,46
OperationExtension,0
RefSchema_Depth_2,984
MaxLength_Depth_1,509
OperationParameter,51
ResponseCode_485,3
MaxProperties_Depth_2,5
AdditionalProperties_Depth_1,9
Operation,51
ServerExtension,0
RequiredSchema_Depth_2,92
MinLength_Depth_2,166
Minimum_Depth_3,10
MaxProperties_Depth_1,3
GlobalExtension,1
ResponseContent_application/json,205
ResponseCode_483,21
Properties_Depth_4,0
header_Parameter,415
AllOf_Depth_2,798
Format_date-time_Depth_2,51
SecuritySchemeExtension,1
PathServer,0
MaxLength_Depth_2,311
ResponseCode_486,1
SecurityScheme_Type_apiKey,1
SchemaType_array,236
RequiredRequestBody,51
Items_Depth_1,177
Server,4
SchemaType_boolean,102
ResponseExtension,0
Enum_Depth_2,162
Pattern_Depth_2,177
Enum_Depth_3,25
Maximum_Depth_3,10
MaxLength_Depth_3,58
SchemaExtension_Depth_4,0
ResponsesExtension,0
Properties_Depth_3,65
Pattern_Depth_3,25
Properties_Depth_1,1013
Maximum_Depth_1,33
MaxItems_Depth_2,28
MinItems_Depth_3,5
Enum_Depth_4,0
Tag,0
SchemaType_object,610
RefSchema_Depth_4,5
Enum_Depth_1,463
MediaTypeEncoding,0
SchemaExtension_Depth_2,0
SchemaComponent,299
MinLength_Depth_1,427
MinItems_Depth_1,91
Properties_Depth_2,798
MinLength_Depth_4,5
AllOf_Depth_1,1013
RequestBodyContent,51
RefSchema_Depth_3,134
GlobalExternalDoc,1
Path_Post,51
Pattern_Depth_1,358
LinkComponent,0
ParameterExtension,0
CallbackComponent,0
Response,214
Format_date-time_Depth_1,85
SchemaType_integer,127
Encoding,0
SchemaType_string,1857
RequestBody,51
RequiredSchema_Depth_1,197
ResponseHeader,0
ResponseContent,205
Link,0
SchemaExtension_Depth_3,0
RequiredParameter,51
ResponseLink,0
ResponseCode_482,31
ParameterComponent,7
RefSchema_Depth_1,1269
Responses,51
Component,307
ExampleComponent,0
SecuritySchemeComponent,1
GlobalWebhook,0
ServerVariable,4
Minimum_Depth_2,27
SecurityScheme_In_header,1
Items_Depth_2,54
AdditionalProperties_Depth_2,15
MaxItems_Depth_3,5
RequestBodyComponent,0
ResponseCode_200,51
MediaTypeExtension,0
PathExtension,0
ResponseCode_484,10
RequiredSchema_Depth_3,35
Items_Depth_3,5
HeaderComponent,0
Path,51
MaxLength_Depth_4,5
RequestBodyExtension,0
Header,0
PathParameter,357
ResponseComponent,0
Example,0
MaxItems_Depth_1,100
Maximum_Depth_2,16
ComponentExtension,0
ExternalDocExtension,0
ResponseCode_480,51
GlobalSecurity,1
Minimum_Depth_1,52
AllOf_Depth_3,65
MinItems_Depth_2,13
Callback,0
MinLength_Depth_3,28
SchemaExtension_Depth_1,0
