OpenAPI feature,Count
Items_Depth_3,9
Maximum_Depth_2,129
MaxLength_Depth_4,6
SecurityScheme_Type_apiKey,1
Operation,47
Header,0
Minimum_Depth_1,84
MinItems_Depth_3,6
MinLength_Depth_1,11
Enum_Depth_1,311
ServerExtension,0
AllOf_Depth_3,69
MaxLength_Depth_2,160
ResponseCode_485,4
SchemaType_number,15
Format_date-time_Depth_3,3
SecurityScheme_In_header,1
header_Parameter,383
AllOf_Depth_1,719
Minimum_Depth_2,129
MinItems_Depth_2,30
MinLength_Depth_2,21
Example,0
RequestBodyContent,47
RequiredSchema_Depth_1,141
ResponseContent,228
ResponseCode_200,47
ResponseCode_480,47
ResponseCode_487,1
Pattern_Depth_1,12
LinkComponent,0
ParameterExtension,0
RefSchema_Depth_1,994
Enum_Depth_3,33
Maximum_Depth_3,30
SecuritySchemeComponent,1
ResponseCode_483,27
ParameterComponent,7
ExternalDocExtension,0
Encoding,0
RequiredParameter,47
ResponseExtension,0
Link,0
SchemaType_array,224
SchemaType_integer,228
ResponsesExtension,0
AllOf_Depth_2,412
ResponseCode_484,16
ResponseComponent,0
Tag,0
Maximum_Depth_1,84
GlobalSecurity,1
SchemaExtension_Depth_1,0
MediaTypeEncoding,0
ResponseCode_481,47
Format_float_Depth_1,12
SchemaExtension_Depth_4,0
SecuritySchemeExtension,1
MaxLength_Depth_1,313
Enum_Depth_4,6
Properties_Depth_4,0
GlobalExternalDoc,1
RequestBody,47
MediaTypeExtension,0
Minimum_Depth_3,30
PathServer,0
HeaderComponent,0
Path,47
OperationExtension,0
SchemaExtension_Depth_2,0
Callback,0
PathParameter,329
ExampleComponent,0
Response,237
Properties_Depth_3,69
MaxItems_Depth_3,6
Pattern_Depth_2,3
RefSchema_Depth_2,570
MinItems_Depth_1,58
ResponseHeader,0
RefSchema_Depth_4,9
MaxItems_Depth_2,30
Responses,47
RequiredRequestBody,47
RequestBodyContent_application/json,47
ResponseContent_application/json,228
Items_Depth_2,57
MaxLength_Depth_3,36
Format_date-time_Depth_1,30
SchemaType_object,415
ResponseLink,0
PathExtension,0
GlobalWebhook,0
GlobalExtension,1
ResponseCode_482,45
MaxItems_Depth_1,68
ResponseCode_486,3
SchemaType_string,1127
RequestBodyExtension,0
Format_float_Depth_2,3
ServerVariable,4
Properties_Depth_1,719
Enum_Depth_2,121
SchemaType_boolean,65
RefSchema_Depth_3,126
SchemaExtension_Depth_3,0
RequiredSchema_Depth_2,27
RequestBodyComponent,0
Path_Post,47
OperationParameter,65
Format_date-time_Depth_2,22
Component,190
Server,4
query_Parameter,18
Items_Depth_1,158
Properties_Depth_2,412
SchemaComponent,182
CallbackComponent,0
ComponentExtension,0
