OpenAPI feature,Count
Maximum_Depth_1,31
Path_Put,2
MaxLength_Depth_1,48
RequiredSchema_Depth_1,358
SchemaType_boolean,19
GlobalExternalDoc,1
ExampleComponent,0
SecurityScheme_In_header,1
ServerExtension,0
Properties_Depth_2,286
CallbackComponent,0
AllOf_Depth_1,695
GlobalSecurity,1
MaxItems_Depth_2,7
RequiredRequestBody,9
GlobalExtension,1
ServerVariable,4
ResponseExtension,0
PathParameter,105
Minimum_Depth_1,31
MinItems_Depth_2,7
Format_date-time_Depth_2,12
MaxItems_Depth_1,1
ResponsesExtension,0
MediaTypeExtension,0
MaxLength_Depth_2,14
MinLength_Depth_1,48
Format_double_Depth_1,59
ResponseCode_483,1
ParameterExtension,0
ResponseLink,0
RequestBodyContent,9
AdditionalProperties_Depth_2,3
SchemaExtension_Depth_1,0
RefSchema_Depth_1,803
Tag,0
ResponseCode_482,25
SchemaExtension_Depth_3,0
RequiredParameter,18
SchemaType_number,62
query_Parameter,14
ResponseCode_480,25
Properties_Depth_3,0
RequestBodyContent_application/json,9
Enum_Depth_1,466
Maximum_Depth_2,14
ComponentExtension,0
AdditionalProperties_Depth_1,22
MediaTypeEncoding,0
Items_Depth_2,32
RequestBody,9
Pattern_Depth_1,48
Component,131
Minimum_Depth_2,14
SecurityScheme_Type_apiKey,1
GlobalWebhook,0
ResponseCode_481,25
SchemaType_integer,84
Encoding,0
Example,0
Responses,25
RefSchema_Depth_2,367
MinItems_Depth_1,1
SchemaExtension_Depth_2,0
PathExtension,0
RequestBodyComponent,0
SecuritySchemeComponent,1
ResponseCode_200,25
SchemaType_array,91
Enum_Depth_2,202
Callback,0
Format_date-time_Depth_1,21
ResponseHeader,0
path_Parameter,17
Server,4
ResponseComponent,0
Path_Delete,5
Operation,25
OperationExtension,0
Response,101
SchemaType_object,416
HeaderComponent,0
Path,15
ResponseContent_application/json,101
AllOf_Depth_2,274
MinLength_Depth_2,14
ExternalDocExtension,0
PathServer,0
header_Parameter,112
RefSchema_Depth_3,35
RequestBodyExtension,0
ParameterComponent,7
SecuritySchemeExtension,1
LinkComponent,0
Enum_Depth_3,0
Format_double_Depth_2,3
ResponseContent,101
Pattern_Depth_2,14
Path_Get,11
Properties_Depth_1,739
SchemaType_string,765
Items_Depth_1,59
Path_Post,7
SchemaComponent,123
OperationParameter,31
Header,0
Link,0
RequiredSchema_Depth_2,61
