OpenAPI feature,Count
ResponseHeader,0
Link,0
ResponseCode_480,4
Operation,4
Encoding,0
RequestBody,2
RequestBodyExtension,0
Schema_Depth_2,108
ResponseCode_482,4
PathParameter,21
Properties_Depth_1,100
RefSchema_Depth_1,117
query_Parameter,2
SecuritySchemeExtension,1
LinkComponent,0
RequestBodyComponent,0
ComponentExtension,0
GlobalSecurity,1
RequiredParameter,6
Enum_Depth_1,88
RefSchema_Depth_2,48
SchemaExtension_Depth_2,0
ResponseExtension,0
Callback,0
PathServer,0
PathExtension,0
Path_Post,1
SchemaType_array,5
ParameterExtension,0
Responses,4
ResponseContent_application/json,26
AllOf_Depth_2,30
MinLength_Depth_1,20
SchemaComponent,37
ResponseComponent,0
GlobalExternalDoc,1
Tag,0
Path_Put,1
MaxLength_Depth_1,28
RequestBodyContent,2
MinLength_Depth_2,18
Items_Depth_1,5
ExampleComponent,0
SecurityScheme_In_header,1
ServerVariable,4
OperationExtension,0
RequiredRequestBody,2
Response,26
ResponsesExtension,0
ResponseCode_485,2
CallbackComponent,0
GlobalExtension,0
ServerExtension,0
Example,0
Header,0
SchemaType_boolean,7
Enum_Depth_2,0
Pattern_Depth_2,18
SchemaType_integer,80
AllOf_Depth_1,91
GlobalWebhook,0
SchemaExtension_Depth_1,0
ResponseContent,26
ResponseLink,0
header_Parameter,28
HeaderComponent,0
ResponseCode_481,4
Pattern_Depth_1,22
SchemaType_object,41
MediaTypeExtension,0
ResponseCode_483,4
ResponseCode_200,4
Component,45
Server,4
path_Parameter,6
SchemaType_string,87
MaxLength_Depth_2,18
RequiredSchema_Depth_1,2
Path,3
RequestBodyContent_application/json,2
AdditionalProperties_Depth_1,13
ResponseCode_484,4
SecurityScheme_Type_apiKey,1
OperationParameter,8
Properties_Depth_2,30
MediaTypeEncoding,0
Path_Get,2
ParameterComponent,7
Schema_Depth_1,383
SecuritySchemeComponent,1
ExternalDocExtension,0
