OpenAPI feature,Count
Response,1439
Enum_Depth_3,48
ExternalDocExtension,0
Minimum_Depth_1,265
Maximum_Depth_2,100
OperationExtension,0
ResponseCode_490,1
RequestBodyComponent,0
Path_Get,93
Maximum_Depth_1,191
RequestBody,89
Path_Patch,22
Operation,233
ResponsesExtension,0
ResponseContent,1410
SchemaType_number,151
MaxLength_Depth_2,670
Pattern_Depth_2,516
Minimum_Depth_3,23
RequiredSchema_Depth_4,27
ResponseCode_482,231
Items_Depth_1,547
Format_double_Depth_2,60
AllOf_Depth_3,291
Enum_Depth_4,0
SecurityScheme_Type_apiKey,1
Enum_Depth_1,1444
ResponseCode_484,138
PathServer,0
LinkComponent,0
Link,0
Items_Depth_3,12
ParameterComponent,7
Properties_Depth_1,4625
Callback,0
SchemaExtension_Depth_4,0
CallbackComponent,0
Server,4
ParameterExtension,0
Path_Post,59
RequestBodyContent_application/json,89
MaxLength_Depth_4,12
GlobalExternalDoc,1
ServerExtension,0
SchemaExtension_Depth_1,0
ResponseContent_application/json,1410
RefSchema_Depth_3,511
AdditionalProperties_Depth_1,115
SecuritySchemeExtension,1
Pattern_Depth_1,926
Properties_Depth_2,3102
AdditionalProperties_Depth_3,3
Path_Put,25
Header,0
ResponseLink,0
AllOf_Depth_2,3096
SchemaType_boolean,363
path_Parameter,151
MaxLength_Depth_1,1183
Example,0
ResponseHeader,0
MediaTypeExtension,0
RequestBodyContent,89
MaxItems_Depth_2,38
GlobalExtension,1
ResponseCode_480,233
header_Parameter,1030
RefSchema_Depth_2,3764
RequestBodyExtension,0
Maximum_Depth_3,23
MaxLength_Depth_3,120
RefSchema_Depth_4,96
DeprecatedOperation,4
PathParameter,1015
Component,1218
SchemaComponent,1210
HeaderComponent,0
ServerVariable,4
Path_Delete,34
MaxItems_Depth_1,105
MinItems_Depth_3,12
Pattern_Depth_4,3
OperationParameter,378
RequiredParameter,177
RequiredSchema_Depth_1,1044
Items_Depth_2,189
SchemaExtension_Depth_3,0
Format_double_Depth_1,68
MinLength_Depth_1,962
ResponseCode_483,205
PathExtension,0
ResponseCode_488,8
MinItems_Depth_2,58
ComponentExtension,0
RefSchema_Depth_1,5719
MediaTypeEncoding,0
SchemaType_object,2796
ResponseCode_481,233
SchemaExtension_Depth_2,0
Format_date-time_Depth_1,265
Minimum_Depth_2,123
Properties_Depth_4,81
DeprecatedSchema_Depth_1,6
MaxItems_Depth_3,3
ResponseCode_200,233
MinLength_Depth_3,100
ResponseCode_487,16
MinItems_Depth_1,138
AllOf_Depth_4,81
MinLength_Depth_4,12
Tag,0
MinLength_Depth_2,573
RequiredRequestBody,89
RequiredSchema_Depth_2,909
ResponseExtension,0
Enum_Depth_2,1030
GlobalWebhook,0
Encoding,0
query_Parameter,219
Responses,233
SchemaType_integer,671
Format_date-time_Depth_2,128
ResponseComponent,0
ExampleComponent,0
GlobalSecurity,1
Path,145
ResponseCode_485,91
SchemaType_array,748
Format_double_Depth_3,23
Format_password_Depth_1,6
AdditionalProperties_Depth_2,31
SecuritySchemeComponent,1
Pattern_Depth_3,82
Properties_Depth_3,291
RequiredSchema_Depth_3,99
ResponseCode_489,2
SecurityScheme_In_header,1
SchemaType_string,7140
AllOf_Depth_1,4279
ResponseCode_486,48
