OpenAPI feature,Count
ResponsesExtension,0
ResponseContent_application/json,37
RequiredSchema_Depth_1,29
ParameterComponent,7
GlobalExternalDoc,1
Link,0
MinLength_Depth_2,23
MaxLength_Depth_2,23
PathParameter,28
MaxLength_Depth_1,50
Pattern_Depth_2,14
Path,4
Path_Get,3
RequiredParameter,7
RequestBodyContent_application/json,3
query_Parameter,3
Component,48
GlobalExtension,1
MediaTypeEncoding,0
ResponseCode_481,8
SecuritySchemeComponent,1
GlobalSecurity,1
ResponseCode_483,4
Path_Delete,2
Properties_Depth_1,59
ResponseCode_480,8
ResponseCode_482,8
SchemaExtension_Depth_2,0
MinLength_Depth_1,50
RequiredSchema_Depth_2,9
ExampleComponent,0
Enum_Depth_2,15
PathExtension,0
Server,4
Example,0
Responses,8
Response,37
ResponseHeader,0
RefSchema_Depth_1,87
Items_Depth_1,5
SecurityScheme_In_header,1
SchemaComponent,40
CallbackComponent,0
OperationExtension,0
path_Parameter,6
RequestBody,3
RequestBodyExtension,0
ResponseCode_201,1
ResponseCode_202,1
ComponentExtension,0
SchemaType_string,125
RefSchema_Depth_2,35
PathServer,0
AllOf_Depth_1,50
RequiredRequestBody,3
SecuritySchemeExtension,1
ResponseComponent,0
OperationParameter,9
ResponseContent,37
MinProperties_Depth_1,9
SchemaType_array,5
SchemaType_integer,13
ResponseCode_204,1
Header,0
ResponseCode_200,5
AllOf_Depth_2,21
RequestBodyComponent,0
ServerVariable,4
Enum_Depth_1,20
ResponseLink,0
ExternalDocExtension,0
MaxProperties_Depth_1,9
Pattern_Depth_1,49
Operation,8
Encoding,0
SchemaExtension_Depth_1,0
MediaTypeExtension,0
ResponseExtension,0
GlobalWebhook,0
header_Parameter,35
Path_Patch,1
ServerExtension,0
SchemaType_object,40
AdditionalProperties_Depth_1,9
Properties_Depth_2,21
Callback,0
RequestBodyContent,3
ResponseCode_484,1
Tag,0
ParameterExtension,0
Path_Post,2
HeaderComponent,0
SecurityScheme_Type_apiKey,1
LinkComponent,0
