OpenAPI feature,Count
query_Parameter,20
Items_Depth_1,70
Pattern_Depth_3,6
MaxLength_Depth_2,56
SchemaType_string,890
MaxLength_Depth_1,138
ResponseExtension,0
Callback,0
MinItems_Depth_1,13
LinkComponent,0
Operation,35
PathParameter,245
Pattern_Depth_2,48
ResponseCode_484,4
SecurityScheme_Type_apiKey,1
SecuritySchemeExtension,1
ExternalDocExtension,0
SchemaExtension_Depth_1,0
RequestBodyExtension,0
RequestBodyContent,35
SchemaType_boolean,13
ResponseCode_481,35
SchemaType_array,82
OperationParameter,55
header_Parameter,287
Responses,35
Link,0
Properties_Depth_1,546
SchemaType_object,269
Format_date-time_Depth_1,47
ExampleComponent,0
HeaderComponent,0
ComponentExtension,0
Tag,0
MediaTypeExtension,0
ResponseContent_application/json,171
ParameterComponent,7
ServerVariable,4
RequestBodyContent_application/json,35
ResponseCode_200,35
RefSchema_Depth_3,12
OperationExtension,0
Enum_Depth_1,294
Pattern_Depth_1,75
SchemaComponent,160
PathServer,0
Items_Depth_2,12
Properties_Depth_3,0
SecurityScheme_In_header,1
ParameterExtension,0
MediaTypeEncoding,0
Header,0
ResponseCode_483,28
ResponseCode_480,35
Enum_Depth_2,205
Maximum_Depth_1,21
GlobalWebhook,0
Minimum_Depth_1,21
CallbackComponent,0
Server,4
RequiredRequestBody,35
RefSchema_Depth_1,752
AllOf_Depth_1,536
GlobalSecurity,1
ServerExtension,0
ResponsesExtension,0
ResponseContent,171
PathExtension,0
Format_date-time_Depth_2,30
RequestBodyComponent,0
SecuritySchemeComponent,1
Encoding,0
RequestBody,35
RequiredSchema_Depth_1,126
RefSchema_Depth_2,254
Properties_Depth_2,184
SchemaExtension_Depth_3,0
MinLength_Depth_1,36
Response,171
ResponseLink,0
ResponseCode_482,34
RequiredSchema_Depth_2,36
GlobalExtension,1
Path,35
RequiredParameter,35
SchemaType_integer,88
MaxItems_Depth_1,13
MinLength_Depth_2,20
Component,168
SchemaExtension_Depth_2,0
Enum_Depth_3,0
ResponseComponent,0
GlobalExternalDoc,1
Path_Post,35
Example,0
ResponseHeader,0
AllOf_Depth_2,184
