OpenAPI feature,Count
Header,0
ResponseCode_200,19
header_Parameter,140
ResponseComponent,0
RequiredRequestBody,19
Encoding,0
Properties_Depth_1,220
SchemaType_string,401
MediaTypeExtension,0
SchemaExtension_Depth_2,0
Responses,19
ResponseCode_483,17
SchemaType_integer,29
Enum_Depth_2,41
ResponseCode_484,12
ResponseCode_485,8
ServerExtension,0
RequiredSchema_Depth_1,40
SchemaExtension_Depth_1,0
MinLength_Depth_1,135
MaxLength_Depth_1,135
Callback,0
SchemaComponent,91
SecurityScheme_In_header,1
CallbackComponent,0
Path,19
RefSchema_Depth_1,276
Maximum_Depth_1,14
MinItems_Depth_1,15
ParameterExtension,0
MinProperties_Depth_1,9
RequiredSchema_Depth_2,12
LinkComponent,0
Path_Post,19
ResponseLink,0
AllOf_Depth_2,69
Component,99
GlobalSecurity,1
AllOf_Depth_1,163
MaxItems_Depth_1,15
ParameterComponent,7
ExampleComponent,0
PathExtension,0
Minimum_Depth_1,23
query_Parameter,4
SecuritySchemeComponent,1
ExternalDocExtension,0
SchemaType_object,128
ResponseContent,113
ResponseContent_application/json,113
ResponseCode_482,18
MaxProperties_Depth_1,9
RequestBodyComponent,0
ComponentExtension,0
RequestBody,19
Example,0
Link,0
Properties_Depth_2,69
Format_date-time_Depth_2,6
RequestBodyExtension,0
ResponseHeader,0
Pattern_Depth_2,53
HeaderComponent,0
SecurityScheme_Type_apiKey,1
Server,4
ServerVariable,4
OperationParameter,4
Pattern_Depth_1,135
Response,113
PathServer,0
Items_Depth_1,24
AdditionalProperties_Depth_1,9
SecuritySchemeExtension,1
GlobalExtension,0
Operation,19
ResponseExtension,0
MaxLength_Depth_2,53
GlobalWebhook,0
Tag,0
OperationExtension,0
Enum_Depth_1,80
MediaTypeEncoding,0
Format_date-time_Depth_1,7
Maximum_Depth_2,3
ResponseCode_486,1
GlobalExternalDoc,1
RequestBodyContent,19
RequestBodyContent_application/json,19
ResponsesExtension,0
ResponseCode_480,19
ResponseCode_481,19
PathParameter,133
SchemaType_array,24
RefSchema_Depth_2,102
MinLength_Depth_2,53
Minimum_Depth_2,6
