OpenAPI feature,Count
MediaTypeExtension,0
MaxItems_Depth_1,19
Schema_Depth_1,3619
SchemaExtension_Depth_3,0
ResponseCode_483,45
GlobalWebhook,0
Path_Post,45
Pattern_Depth_3,6
SecuritySchemeComponent,1
ServerExtension,0
Schema_Depth_2,2328
SchemaExtension_Depth_4,0
ResponseCode_481,45
RequiredRequestBody,45
Link,0
ResponseCode_480,45
MaxItems_Depth_2,11
Path,45
OperationExtension,0
ResponseExtension,0
Callback,0
ResponseCode_487,11
ResponseCode_490,1
Component,217
header_Parameter,367
SchemaType_string,1640
GlobalSecurity,1
Enum_Depth_1,586
SchemaType_object,517
Items_Depth_2,82
AllOf_Depth_3,118
PathServer,0
ResponseCode_486,25
Minimum_Depth_1,15
SchemaType_array,291
Items_Depth_1,195
SchemaExtension_Depth_2,0
CallbackComponent,0
RequestBodyContent_application/json,45
RequiredSchema_Depth_2,161
ResponseCode_482,45
Enum_Depth_5,0
ResponseCode_489,2
Server,4
RequiredSchema_Depth_1,260
SchemaType_boolean,87
ResponseLink,0
Encoding,0
SchemaType_integer,134
ResponseCode_484,44
Properties_Depth_2,713
RefSchema_Depth_5,3
SchemaExtension_Depth_5,0
SecuritySchemeExtension,1
ExternalDocExtension,0
ResponsesExtension,0
Example,0
RequestBody,45
RequestBodyContent,45
RefSchema_Depth_4,20
MaxLength_Depth_1,137
SchemaComponent,209
ComponentExtension,0
SchemaExtension_Depth_1,0
Pattern_Depth_2,86
Items_Depth_4,3
LinkComponent,0
GlobalExtension,1
ServerVariable,4
Tag,0
AllOf_Depth_2,710
RequiredSchema_Depth_3,38
Header,0
GlobalExternalDoc,1
Format_date-time_Depth_2,12
RequiredSchema_Depth_4,6
SecurityScheme_In_header,1
Properties_Depth_3,118
MaxLength_Depth_3,6
RequiredParameter,45
RefSchema_Depth_2,908
Response,343
ResponseCode_200,45
HeaderComponent,0
Properties_Depth_1,889
RequestBodyExtension,0
MediaTypeEncoding,0
MinItems_Depth_1,13
Format_date-time_Depth_1,8
ResponseComponent,0
ParameterComponent,7
PathParameter,315
PathExtension,0
RequestBodyComponent,0
SecurityScheme_Type_apiKey,1
AllOf_Depth_1,883
Properties_Depth_4,9
RefSchema_Depth_1,1277
ResponseCode_485,33
MaxLength_Depth_2,86
MinItems_Depth_2,8
Operation,45
Enum_Depth_2,962
ResponseCode_488,2
ParameterExtension,0
Pattern_Depth_1,127
Enum_Depth_3,308
AllOf_Depth_4,9
Properties_Depth_5,0
Schema_Depth_3,436
Items_Depth_3,11
Schema_Depth_4,38
Responses,45
ResponseHeader,0
Maximum_Depth_1,15
ExampleComponent,0
OperationParameter,45
RefSchema_Depth_3,200
Enum_Depth_4,0
ResponseContent_application/json,343
Schema_Depth_5,3
ResponseContent,343
MinLength_Depth_1,15
