OpenAPI feature,Count
GlobalExtension,1
RequestBodyExtension,0
RequestBodyContent,31
header_Parameter,273
Enum_Depth_4,0
SchemaExtension_Depth_4,0
SecuritySchemeExtension,1
ComponentExtension,0
RequiredParameter,52
SchemaExtension_Depth_1,0
Link,0
MinProperties_Depth_1,25
MaxItems_Depth_4,6
RequiredSchema_Depth_2,233
Callback,0
ResponseCode_200,50
ResponseCode_480,50
SchemaType_number,153
SecurityScheme_Type_apiKey,1
ParameterExtension,0
MinLength_Depth_2,108
ServerExtension,0
MinItems_Depth_1,81
RefSchema_Depth_2,521
ResponsesExtension,0
PathParameter,266
PathExtension,0
AdditionalProperties_Depth_1,25
MinItems_Depth_4,6
Format_double_Depth_1,37
RequestBodyComponent,0
HeaderComponent,0
Path_Post,25
MinLength_Depth_1,237
MaxItems_Depth_1,69
Response,297
ResponseHeader,0
Format_double_Depth_4,17
Operation,50
OperationParameter,68
MediaTypeExtension,0
ResponseLink,0
RefSchema_Depth_4,23
Format_password_Depth_1,7
ResponseCode_484,44
MaxProperties_Depth_1,25
Format_date-time_Depth_2,67
ResponseCode_486,1
Server,4
Example,0
MediaTypeEncoding,0
Path_Get,12
Minimum_Depth_1,70
GlobalWebhook,0
RequestBodyContent_application/json,31
ResponseCode_481,50
Format_double_Depth_3,43
ExampleComponent,0
Tag,0
RequiredRequestBody,31
MaxLength_Depth_2,108
Items_Depth_4,6
PathServer,0
Path_Delete,7
Enum_Depth_3,0
MaxItems_Depth_3,17
Path_Put,1
RequiredSchema_Depth_3,12
SecuritySchemeComponent,1
ServerVariable,4
RequestBody,31
ResponseContent,297
Properties_Depth_4,0
Maximum_Depth_1,32
GlobalExternalDoc,1
SchemaType_object,394
Items_Depth_1,142
AllOf_Depth_1,560
Enum_Depth_5,0
ParameterComponent,7
Path,38
Enum_Depth_2,153
Header,0
ResponseCode_482,50
Path_Patch,5
Minimum_Depth_3,9
RefSchema_Depth_1,861
SchemaType_boolean,17
RequiredSchema_Depth_1,356
MinItems_Depth_3,23
SchemaExtension_Depth_3,0
MaxItems_Depth_2,37
SchemaComponent,226
CallbackComponent,0
GlobalSecurity,1
Format_date-time_Depth_1,79
Items_Depth_3,23
Minimum_Depth_2,12
ResponseComponent,0
AllOf_Depth_2,345
Format_double_Depth_2,50
RefSchema_Depth_3,72
path_Parameter,51
Encoding,0
ExternalDocExtension,0
Properties_Depth_1,649
Format_double_Depth_5,6
MaxLength_Depth_1,235
SchemaType_array,228
Pattern_Depth_2,99
SchemaExtension_Depth_2,0
AllOf_Depth_3,15
Component,234
SchemaType_string,1081
ResponseExtension,0
ResponseCode_483,50
SchemaType_integer,39
SchemaExtension_Depth_5,0
ResponseContent_application/json,297
Properties_Depth_3,15
RefSchema_Depth_5,6
OperationExtension,0
Pattern_Depth_1,163
Properties_Depth_2,354
Items_Depth_2,57
SecurityScheme_In_header,1
Enum_Depth_1,213
ResponseCode_485,2
LinkComponent,0
Responses,50
Properties_Depth_5,0
MinItems_Depth_2,54
query_Parameter,17
