OpenAPI feature,Count
SchemaType_object,219
Path,22
Properties_Depth_1,497
RequestBodyExtension,0
SchemaComponent,109
SecuritySchemeComponent,1
SecurityScheme_In_header,1
OperationExtension,0
OperationParameter,32
Format_date-time_Depth_1,44
SecuritySchemeExtension,1
GlobalExternalDoc,1
Tag,0
MediaTypeExtension,0
PathParameter,154
Component,117
Header,0
ResponseContent,136
ResponseCode_481,22
ResponseCode_485,9
Minimum_Depth_1,19
ResponseComponent,0
MaxLength_Depth_2,109
SchemaExtension_Depth_2,0
RequestBodyComponent,0
GlobalWebhook,0
ServerVariable,4
ResponseCode_486,3
MinLength_Depth_1,280
Items_Depth_1,29
Properties_Depth_2,172
ResponseExtension,0
ResponseCode_200,22
PathExtension,0
Operation,22
AllOf_Depth_1,497
ExampleComponent,0
RequiredSchema_Depth_2,43
MinLength_Depth_2,106
ResponsesExtension,0
PathServer,0
SchemaExtension_Depth_1,0
SchemaType_array,29
MediaTypeEncoding,0
ResponseContent_application/json,136
Callback,0
LinkComponent,0
ExternalDocExtension,0
RequiredSchema_Depth_1,126
MinItems_Depth_1,14
Enum_Depth_1,246
RequiredRequestBody,22
ResponseCode_480,22
query_Parameter,10
Maximum_Depth_1,19
Server,4
ServerExtension,0
Minimum_Depth_2,3
ComponentExtension,0
ResponseLink,0
ResponseCode_482,22
MaxItems_Depth_1,14
Enum_Depth_2,63
HeaderComponent,0
SchemaType_string,763
RefSchema_Depth_1,655
RequestBodyContent,22
RequestBodyContent_application/json,22
Maximum_Depth_2,3
GlobalExtension,1
Encoding,0
Pattern_Depth_1,303
Responses,22
Response,140
ResponseHeader,0
Link,0
ResponseCode_484,18
Path_Post,22
Example,0
Format_date-time_Depth_2,15
SecurityScheme_Type_apiKey,1
AllOf_Depth_2,172
Pattern_Depth_2,115
SchemaType_integer,22
CallbackComponent,0
ParameterExtension,0
RefSchema_Depth_2,201
RequestBody,22
MaxLength_Depth_1,309
ResponseCode_483,22
ParameterComponent,7
GlobalSecurity,1
header_Parameter,183
RequiredParameter,22
