OpenAPI feature,Count
LinkComponent,0
PathServer,0
PathParameter,49
query_Parameter,4
Maximum_Depth_1,5
ResponseHeader,0
ResponseContent,25
CallbackComponent,0
ComponentExtension,0
Server,4
Tag,0
SchemaType_array,21
Properties_Depth_2,84
SecurityScheme_In_header,1
AllOf_Depth_2,84
MediaTypeEncoding,0
ResponseExtension,0
HeaderComponent,0
ParameterExtension,0
RequestBody,7
RequestBodyContent_application/json,7
Pattern_Depth_1,14
GlobalExternalDoc,1
RequiredSchema_Depth_1,20
Header,0
PathExtension,0
SchemaComponent,37
ResponseLink,0
Link,0
ResponseComponent,0
SecuritySchemeComponent,1
Operation,7
RequiredRequestBody,7
Enum_Depth_2,24
RequiredSchema_Depth_2,36
GlobalSecurity,1
Path,7
ResponseCode_482,5
ParameterComponent,7
Schema_Depth_2,273
ResponseContent_application/json,25
Callback,0
MaxLength_Depth_1,23
SchemaExtension_Depth_1,0
RequestBodyContent,7
MaxLength_Depth_2,50
ResponsesExtension,0
GlobalExtension,1
ServerExtension,0
Schema_Depth_1,322
Properties_Depth_1,62
ResponseCode_200,7
RequestBodyComponent,0
GlobalWebhook,0
SchemaType_string,183
Enum_Depth_1,22
Example,0
ExampleComponent,0
RefSchema_Depth_2,105
ExternalDocExtension,0
header_Parameter,63
ResponseCode_480,7
ResponseCode_483,1
SecuritySchemeExtension,1
Items_Depth_1,21
MediaTypeExtension,0
Response,27
ResponseCode_481,7
OperationParameter,11
RequiredParameter,7
Encoding,0
SchemaType_object,70
Pattern_Depth_2,3
Component,45
RefSchema_Depth_1,94
AllOf_Depth_1,62
Responses,7
SchemaType_integer,5
ServerVariable,4
SchemaExtension_Depth_2,0
Path_Post,7
OperationExtension,0
RequestBodyExtension,0
SecurityScheme_Type_apiKey,1
