OpenAPI feature,Count
AdditionalProperties_Depth_2,6
ResponseContent_application/json,428
RefSchema_Depth_1,1981
MediaTypeExtension,0
RequestBody,31
Properties_Depth_3,378
Items_Depth_3,53
Schema_Depth_4,602
SchemaExtension_Depth_4,0
ServerExtension,0
Response,428
Callback,0
RequiredSchema_Depth_1,74
GlobalExternalDoc,1
CallbackComponent,0
ResponseCode_483,53
Schema_Depth_2,4951
SchemaType_boolean,252
Path_Put,2
Component,335
ExampleComponent,0
SchemaExtension_Depth_1,0
ResponseExtension,0
ResponseCode_200,55
Format_date-time_Depth_1,70
AllOf_Depth_3,378
Format_double_Depth_1,17
RequiredParameter,16
ResponseCode_480,53
Enum_Depth_1,794
ParameterExtension,0
Path_Patch,5
RequiredSchema_Depth_3,6
Minimum_Depth_1,5
Items_Depth_4,15
HeaderComponent,0
ExternalDocExtension,0
SecurityScheme_Type_apiKey,1
Tag,0
ResponsesExtension,0
Link,0
PathServer,0
AllOf_Depth_1,1553
SchemaType_number,23
header_Parameter,294
query_Parameter,24
Items_Depth_2,204
Enum_Depth_4,0
ResponseCode_486,53
AllOf_Depth_4,183
Schema_Depth_5,204
LinkComponent,0
Properties_Depth_2,1568
Properties_Depth_5,63
Path,41
path_Parameter,14
Schema_Depth_1,5872
Header,0
ResponseCode_481,53
ResponseCode_482,53
ComponentExtension,0
ResponseHeader,0
ParameterComponent,7
SecuritySchemeExtension,1
SchemaType_object,1369
SchemaType_array,481
RefSchema_Depth_2,1815
AllOf_Depth_2,1568
RefSchema_Depth_5,78
ServerVariable,4
Path_Post,27
OperationExtension,0
Properties_Depth_1,1648
Path_Get,17
Enum_Depth_3,144
Operation,57
OperationParameter,38
Example,0
ResponseCode_485,53
SchemaExtension_Depth_2,0
RefSchema_Depth_4,236
MediaTypeEncoding,0
ResponseCode_204,2
Format_double_Depth_2,6
PathParameter,287
RequestBodyExtension,0
RequiredSchema_Depth_2,14
SchemaComponent,327
SchemaExtension_Depth_3,0
Format_date-time_Depth_2,63
Maximum_Depth_1,5
Properties_Depth_4,183
SchemaType_string,2232
RequestBodyContent_application/json,31
PathExtension,0
Items_Depth_1,209
RequestBodyComponent,0
SecurityScheme_In_header,1
AdditionalProperties_Depth_1,38
Path_Delete,6
Enum_Depth_5,0
ResponseLink,0
Enum_Depth_2,1190
Responses,57
ResponseCode_484,53
Encoding,0
Schema_Depth_3,1344
GlobalExtension,1
ResponseContent,428
SchemaType_integer,748
ResponseComponent,0
GlobalSecurity,1
GlobalWebhook,0
Server,4
RequiredRequestBody,31
RefSchema_Depth_3,588
AllOf_Depth_5,63
SecuritySchemeComponent,1
RequestBodyContent,31
SchemaExtension_Depth_5,0
