OpenAPI feature,Count
RequestBodyExtension,0
MaxLength_Depth_2,76
MinItems_Depth_2,5
ServerVariable,4
Path_Get,2
Operation,6
Response,39
ResponseCode_481,6
MinLength_Depth_3,14
Pattern_Depth_3,14
ComponentExtension,0
MediaTypeEncoding,0
RequestBody,3
RefSchema_Depth_2,118
Enum_Depth_2,21
RefSchema_Depth_3,17
ParameterComponent,7
ExternalDocExtension,0
Properties_Depth_1,117
SchemaExtension_Depth_1,0
Responses,6
ResponseCode_482,6
RequestBodyContent,3
Maximum_Depth_1,5
Component,67
GlobalWebhook,0
GlobalExtension,0
OperationExtension,0
RequiredParameter,6
Properties_Depth_2,95
Items_Depth_2,11
SecurityScheme_Type_apiKey,1
LinkComponent,0
Server,4
Tag,0
ResponseCode_484,5
ResponseCode_480,6
RequiredSchema_Depth_1,16
ResponseComponent,0
HeaderComponent,0
SecurityScheme_In_header,1
MinLength_Depth_1,106
ResponseContent_application/json,39
AllOf_Depth_1,102
PathParameter,42
MaxItems_Depth_2,5
CallbackComponent,0
RequiredSchema_Depth_2,15
OperationParameter,10
Pattern_Depth_1,106
Link,0
SchemaType_array,34
Enum_Depth_3,0
Enum_Depth_1,40
PathServer,0
RequestBodyContent_application/json,3
SecuritySchemeExtension,1
GlobalExternalDoc,1
Example,0
AllOf_Depth_2,95
RefSchema_Depth_1,141
RequiredRequestBody,3
SchemaType_integer,5
ResponseCode_486,1
Items_Depth_1,23
SecuritySchemeComponent,1
GlobalSecurity,1
ResponseHeader,0
ResponseCode_485,3
SchemaType_object,63
Callback,0
PathExtension,0
Pattern_Depth_2,76
MaxLength_Depth_3,14
Minimum_Depth_1,5
Encoding,0
ResponseCode_483,6
ResponseContent,39
ResponseCode_200,6
header_Parameter,49
AllOf_Depth_3,6
SchemaExtension_Depth_2,0
RequestBodyComponent,0
ServerExtension,0
query_Parameter,10
ParameterExtension,0
ResponseExtension,0
MinLength_Depth_2,76
SchemaType_string,269
MaxLength_Depth_1,106
ResponseLink,0
MaxItems_Depth_1,10
Path,6
MinItems_Depth_1,10
Properties_Depth_3,6
SchemaComponent,59
ExampleComponent,0
Path_Patch,1
ResponsesExtension,0
Header,0
MediaTypeExtension,0
Path_Post,3
SchemaExtension_Depth_3,0
