OpenAPI feature,Count
ComponentExtension,0
GlobalExternalDoc,1
GlobalWebhook,0
SchemaType_object,13
SchemaExtension_Depth_2,0
ResponsesExtension,0
ParameterComponent,7
SecurityScheme_In_header,1
ServerExtension,0
SchemaType_string,67
Response,4
ResponseExtension,0
PathServer,0
Path_Post,2
AllOf_Depth_1,32
MinProperties_Depth_1,5
SecurityScheme_Type_apiKey,1
Operation,2
RequestBodyExtension,0
Properties_Depth_2,0
ResponseLink,0
MaxLength_Depth_1,8
SchemaExtension_Depth_1,0
RequiredRequestBody,2
AdditionalProperties_Depth_1,5
MinLength_Depth_1,23
Link,0
ExternalDocExtension,0
ResponseHeader,0
PathParameter,14
GlobalExtension,1
ParameterExtension,0
RequiredSchema_Depth_1,20
MediaTypeExtension,0
PathExtension,0
SecuritySchemeComponent,1
SecuritySchemeExtension,1
CallbackComponent,0
Server,4
ServerVariable,4
Responses,2
ResponseCode_480,2
MaxLength_Depth_2,5
Callback,0
RequestBodyComponent,0
Format_date-time_Depth_1,6
Header,0
ResponseContent_application/json,4
ResponseCode_200,2
Path,2
RequiredParameter,2
Example,0
MaxProperties_Depth_1,5
OperationParameter,2
SchemaComponent,17
HeaderComponent,0
LinkComponent,0
RequestBodyContent,2
RefSchema_Depth_1,38
Tag,0
header_Parameter,23
Encoding,0
RequestBody,2
ResponseContent,4
ResponseComponent,0
ExampleComponent,0
OperationExtension,0
Properties_Depth_1,32
RefSchema_Depth_2,5
MediaTypeEncoding,0
Component,25
GlobalSecurity,1
Enum_Depth_1,83
RequestBodyContent_application/json,2
Enum_Depth_2,0
MinLength_Depth_2,5
