OpenAPI feature,Count
Maximum_Depth_2,5
SecurityScheme_In_header,1
SecurityScheme_Type_apiKey,1
LinkComponent,0
CallbackComponent,0
GlobalSecurity,1
RequestBodyContent_application/json,21
AllOf_Depth_1,125
RequiredSchema_Depth_1,72
ResponseCode_483,8
GlobalWebhook,0
Format_date-time_Depth_1,6
PathParameter,147
SchemaExtension_Depth_3,0
ParameterComponent,7
ServerVariable,4
MediaTypeExtension,0
Responses,21
ResponseLink,0
ExternalDocExtension,0
Pattern_Depth_3,15
MinLength_Depth_2,47
RequestBody,21
Response,89
SchemaComponent,81
ResponseContent_application/json,89
PathExtension,0
Items_Depth_1,32
SchemaExtension_Depth_2,0
RequestBodyExtension,0
SchemaType_object,118
ResponsesExtension,0
ResponseContent,89
SchemaType_integer,10
Items_Depth_2,20
Example,0
Header,0
SchemaType_array,52
MinItems_Depth_2,20
Server,4
Properties_Depth_3,0
ResponseComponent,0
ComponentExtension,0
MinLength_Depth_1,89
Pattern_Depth_1,83
RequestBodyComponent,0
SecuritySchemeComponent,1
SchemaType_boolean,9
RefSchema_Depth_2,101
Enum_Depth_2,17
RequiredSchema_Depth_2,29
GlobalExtension,1
SchemaType_string,351
Encoding,0
ResponseCode_481,20
MinLength_Depth_3,15
Minimum_Depth_2,5
ResponseCode_482,19
Format_date-time_Depth_2,3
Enum_Depth_3,20
MaxLength_Depth_3,15
query_Parameter,2
SecuritySchemeExtension,1
ServerExtension,0
RequiredRequestBody,21
ResponseExtension,0
Properties_Depth_2,69
RequestBodyContent,21
Minimum_Depth_1,5
GlobalExternalDoc,1
MaxItems_Depth_2,20
Component,89
HeaderComponent,0
Path,21
Properties_Depth_1,125
ResponseCode_480,21
MaxItems_Depth_1,26
ExampleComponent,0
RequiredParameter,21
ResponseHeader,0
MinItems_Depth_1,26
MaxLength_Depth_2,47
SchemaExtension_Depth_1,0
ParameterExtension,0
RefSchema_Depth_1,235
MaxLength_Depth_1,89
Tag,0
Path_Post,21
OperationExtension,0
Enum_Depth_1,55
RefSchema_Depth_3,20
MediaTypeEncoding,0
Link,0
Callback,0
PathServer,0
AllOf_Depth_2,69
Maximum_Depth_1,5
Pattern_Depth_2,44
Operation,21
OperationParameter,23
header_Parameter,175
ResponseCode_200,21
