OpenAPI feature,Count
Properties_Depth_3,48
AllOf_Depth_3,48
Minimum_Depth_3,18
ResponseCode_201,1
ServerVariable,4
OperationParameter,12
MinLength_Depth_1,392
MediaTypeExtension,0
MinLength_Depth_3,38
MinItems_Depth_2,15
SchemaExtension_Depth_1,0
header_Parameter,175
SchemaExtension_Depth_2,0
Minimum_Depth_2,60
Path_Delete,1
SchemaExtension_Depth_3,0
ResponseCode_484,4
RequiredSchema_Depth_1,78
RefSchema_Depth_1,855
MaxItems_Depth_1,71
MaxLength_Depth_3,38
Enum_Depth_4,0
Path,24
SchemaType_boolean,93
PathExtension,0
MinLength_Depth_2,250
ResponseContent_application/json,104
ResponseComponent,0
Enum_Depth_1,574
Enum_Depth_3,63
Path_Get,1
Component,143
Properties_Depth_4,0
SchemaComponent,135
GlobalExtension,1
RequiredRequestBody,22
Pattern_Depth_3,6
ParameterExtension,0
SecuritySchemeComponent,1
LinkComponent,0
AllOf_Depth_1,751
ServerExtension,0
PathParameter,168
ExternalDocExtension,0
RequestBodyContent,22
HeaderComponent,0
SecurityScheme_In_header,1
CallbackComponent,0
GlobalWebhook,0
RefSchema_Depth_2,560
MinLength_Depth_4,3
MaxLength_Depth_4,3
AdditionalProperties_Depth_2,12
Path_Post,23
RequestBodyContent_application/json,22
ResponseCode_482,19
Server,4
Pattern_Depth_1,256
ResponsesExtension,0
RequiredSchema_Depth_2,6
GlobalSecurity,1
Link,0
SchemaType_array,136
AdditionalProperties_Depth_1,41
MaxItems_Depth_2,15
SchemaType_string,1062
ExampleComponent,0
SecuritySchemeExtension,1
Tag,0
PathServer,0
Properties_Depth_2,415
SchemaExtension_Depth_4,0
Operation,25
ResponseCode_200,17
Items_Depth_3,3
Callback,0
query_Parameter,9
path_Parameter,3
ResponseHeader,0
AllOf_Depth_2,415
MaxLength_Depth_2,250
Items_Depth_2,29
SecurityScheme_Type_apiKey,1
OperationExtension,0
Header,0
ResponseCode_480,25
SchemaType_integer,114
Responses,25
Response,106
ResponseCode_483,8
ResponseCode_204,4
ComponentExtension,0
Encoding,0
ResponseExtension,0
Minimum_Depth_1,36
ResponseCode_202,3
RequestBody,22
Items_Depth_1,104
MediaTypeEncoding,0
ResponseCode_481,25
Pattern_Depth_2,131
GlobalExternalDoc,1
Example,0
ResponseContent,104
MinItems_Depth_1,71
RefSchema_Depth_4,3
ParameterComponent,7
SchemaType_object,437
Properties_Depth_1,830
ResponseLink,0
RefSchema_Depth_3,89
RequestBodyComponent,0
RequestBodyExtension,0
MaxLength_Depth_1,392
Enum_Depth_2,421
RequiredParameter,4
