OpenAPI feature,Count
ResponseExtension,0
SchemaType_string,295
Pattern_Depth_1,120
Responses,11
ResponseContent_application/json,56
Link,0
ResponseCode_480,11
Path_Get,5
ResponseContent,56
Properties_Depth_3,0
SchemaType_array,24
RefSchema_Depth_1,180
Minimum_Depth_1,7
ResponsesExtension,0
Tag,0
path_Parameter,7
ComponentExtension,0
RefSchema_Depth_2,113
AdditionalProperties_Depth_1,13
HeaderComponent,0
ParameterExtension,0
RefSchema_Depth_3,6
ResponseCode_200,11
Maximum_Depth_1,7
Component,82
Path_Delete,3
MaxLength_Depth_2,77
Properties_Depth_2,76
ResponseLink,0
query_Parameter,10
RequestBodyContent,3
ExternalDocExtension,0
GlobalWebhook,0
PathExtension,0
SchemaExtension_Depth_2,0
MediaTypeEncoding,0
SchemaType_object,83
ServerVariable,4
PathServer,0
RequestBody,3
SchemaExtension_Depth_3,0
MediaTypeExtension,0
LinkComponent,0
Example,0
AdditionalProperties_Depth_2,6
SecurityScheme_Type_apiKey,1
GlobalSecurity,1
Pattern_Depth_2,81
RequiredRequestBody,3
MinLength_Depth_1,113
MaxProperties_Depth_1,13
MaxItems_Depth_1,11
ResponseHeader,0
ExampleComponent,0
Schema_Depth_1,448
RequestBodyComponent,0
Path_Post,3
MinProperties_Depth_2,6
OperationExtension,0
Encoding,0
SchemaType_integer,14
CallbackComponent,0
GlobalExternalDoc,1
OperationParameter,17
Format_date-time_Depth_1,7
ResponseCode_485,2
Server,4
ResponseCode_482,11
header_Parameter,63
SchemaComponent,74
Callback,0
Pattern_Depth_3,6
Maximum_Depth_2,7
Schema_Depth_3,6
MinItems_Depth_1,11
Schema_Depth_2,175
RequestBodyExtension,0
RequestBodyContent_application/json,3
PathParameter,56
AllOf_Depth_1,50
ResponseCode_484,4
MaxLength_Depth_3,6
GlobalExtension,1
ServerExtension,0
ResponseCode_481,11
Minimum_Depth_2,7
SecurityScheme_In_header,1
Path,8
Items_Depth_1,24
ResponseCode_483,6
RequiredSchema_Depth_1,12
MaxProperties_Depth_2,6
ResponseComponent,0
Header,0
Enum_Depth_3,0
AllOf_Depth_2,31
MinProperties_Depth_1,13
ParameterComponent,7
Enum_Depth_1,45
Enum_Depth_2,0
Response,56
SecuritySchemeExtension,1
Operation,11
Properties_Depth_1,135
SecuritySchemeComponent,1
MinLength_Depth_2,64
RequiredParameter,8
MaxLength_Depth_1,118
SchemaExtension_Depth_1,0
