OpenAPI feature,Count
Enum_Depth_2,0
SchemaType_integer,3
Response,6
Header,0
ResponseContent,6
ResponseLink,0
Path,2
SchemaExtension_Depth_2,0
ResponseCode_480,2
RequestBodyComponent,0
SecuritySchemeExtension,1
MaxLength_Depth_2,18
ResponseCode_200,2
AllOf_Depth_1,23
ParameterExtension,0
CallbackComponent,0
SchemaExtension_Depth_1,0
OperationExtension,0
RequestBodyContent_application/json,2
Schema_Depth_1,132
Properties_Depth_1,36
Link,0
SchemaComponent,21
Operation,2
header_Parameter,21
GlobalWebhook,0
RefSchema_Depth_2,28
GlobalExternalDoc,1
GlobalSecurity,1
Component,29
RequestBodyExtension,0
ComponentExtension,0
ServerVariable,4
RequiredRequestBody,2
Encoding,0
RequiredSchema_Depth_1,8
AdditionalProperties_Depth_1,10
Responses,2
SchemaType_array,8
PathServer,0
OperationParameter,0
SecurityScheme_In_header,1
RequestBody,2
Pattern_Depth_1,11
Format_password_Depth_2,10
Format_double_Depth_2,5
Callback,0
ParameterComponent,7
Server,4
ExternalDocExtension,0
SchemaType_object,24
ResponseContent_application/json,6
SchemaType_number,7
PathExtension,0
Format_password_Depth_1,2
Format_double_Depth_1,2
MaxProperties_Depth_1,10
ServerExtension,0
SecurityScheme_Type_apiKey,1
GlobalExtension,0
MaxLength_Depth_1,22
Properties_Depth_2,10
MediaTypeExtension,0
Items_Depth_1,8
AllOf_Depth_2,10
PathParameter,14
Enum_Depth_1,0
RequestBodyContent,2
SchemaType_string,66
Schema_Depth_2,48
Minimum_Depth_1,3
MediaTypeEncoding,0
ResponseExtension,0
ResponseComponent,0
Tag,0
HeaderComponent,0
SecuritySchemeComponent,1
ExampleComponent,0
Example,0
ResponsesExtension,0
ResponseHeader,0
RefSchema_Depth_1,29
ResponseCode_481,2
LinkComponent,0
Path_Post,2
