OpenAPI feature,Count
SchemaType_integer,1644
Responses,274
RequiredSchema_Depth_1,375
ResponseCode_498,12
ExternalDocExtension,0
SecuritySchemeExtension,1
ResponseCode_480,256
Callback,0
Format_password_Depth_1,9
ParameterComponent,7
SecurityScheme_In_header,1
OperationParameter,1459
ResponseCode_485,42
ResponseCode_488,28
Format_double_Depth_1,17
Enum_Depth_2,469
Format_date-time_Depth_2,143
Format_date-time_Depth_1,446
RequestBodyComponent,0
GlobalWebhook,0
Items_Depth_2,515
ResponseCode_484,66
ResponseCode_481,198
GlobalExternalDoc,1
Example,0
Enum_Depth_3,32
ResponseCode_482,132
Format_double_Depth_2,34
SchemaExtension_Depth_4,0
ServerExtension,0
Path,137
SchemaExtension_Depth_3,0
Header,0
ResponseCode_495,18
XMLSchema_Depth_3,386
ResponseCode_200,274
Properties_Depth_4,60
Link,0
ResponseCode_491,22
XMLSchema_Depth_4,16
CallbackComponent,0
Items_Depth_1,1856
RequiredParameter,734
ResponseCode_490,24
LinkComponent,0
SchemaType_array,2395
PathServer,0
Enum_Depth_4,0
ComponentExtension,0
GlobalExtension,1
SchemaComponent,589
Path_Post,137
RequestBodyContent_text/xml,137
ResponseCode_499,4
ExampleComponent,0
MediaTypeExtension,0
MediaTypeEncoding,0
Format_double_Depth_3,18
SchemaType_object,2843
RefSchema_Depth_2,7034
AllOf_Depth_3,1093
Component,597
RequestBodyExtension,0
ResponseCode_494,18
RefSchema_Depth_3,1230
MinLength_Depth_1,35
SchemaType_number,69
Server,6
ServerVariable,4
Operation,274
SchemaType_string,13319
SchemaExtension_Depth_1,0
ResponseCode_486,30
Enum_Depth_1,1561
RequiredSchema_Depth_2,228
Properties_Depth_2,5178
MaxLength_Depth_1,35
Pattern_Depth_1,35
ResponseContent,1318
AllOf_Depth_1,10016
ResponseCode_483,86
RefSchema_Depth_4,84
GlobalSecurity,1
RefSchema_Depth_1,11884
ResponseCode_492,20
ResponsesExtension,0
ResponseContent_text/xml,1318
SchemaType_boolean,1793
ResponseCode_496,18
Tag,0
Properties_Depth_3,715
XMLSchema_Depth_2,1411
ResponseCode_497,16
XMLExtension,0
ResponseLink,0
SecuritySchemeComponent,1
Format_date-time_Depth_3,12
ResponseComponent,0
query_Parameter,1459
SchemaExtension_Depth_2,0
PathExtension,0
Path_Get,137
RequestBodyContent,137
header_Parameter,966
ResponseCode_489,24
HeaderComponent,0
Maximum_Depth_1,16
AllOf_Depth_4,76
OperationExtension,274
Properties_Depth_1,10429
RequestBody,137
ResponseCode_493,20
Encoding,0
Response,1340
ResponseHeader,0
ResponseExtension,0
Minimum_Depth_1,16
Format_password_Depth_2,4
ResponseCode_500,2
SecurityScheme_Type_apiKey,1
ParameterExtension,0
AllOf_Depth_2,6519
PathParameter,959
ResponseCode_487,28
Items_Depth_3,24
ResponseCode_501,2
