OpenAPI feature,Count
Pattern_Depth_2,24
SecuritySchemeExtension,1
RefSchema_Depth_1,1819
Encoding,0
Responses,60
ResponseCode_200,60
RefSchema_Depth_3,25
OperationExtension,0
ExampleComponent,0
Enum_Depth_3,0
AllOf_Depth_2,396
LinkComponent,0
ResponseLink,0
RefSchema_Depth_2,506
Enum_Depth_2,210
ResponseCode_484,46
SecurityScheme_In_header,1
GlobalExternalDoc,1
ResponsesExtension,0
SchemaExtension_Depth_2,0
Properties_Depth_2,396
Minimum_Depth_3,3
MaxLength_Depth_2,313
Maximum_Depth_3,3
Response,388
SchemaExtension_Depth_1,0
MaxLength_Depth_1,840
ResponseHeader,0
OperationParameter,88
ResponseCode_481,60
ResponseCode_483,59
PathParameter,420
query_Parameter,28
Operation,60
Link,0
Properties_Depth_3,6
AllOf_Depth_3,6
ServerVariable,4
RequestBodyContent,60
GlobalWebhook,0
ParameterExtension,0
Enum_Depth_1,797
ResponseComponent,0
Tag,0
Properties_Depth_1,1371
RequiredSchema_Depth_1,180
ResponseCode_480,60
ResponseCode_485,28
MinItems_Depth_1,18
Path,60
SecurityScheme_Type_apiKey,1
Server,4
Minimum_Depth_2,15
Maximum_Depth_1,46
Minimum_Depth_1,46
SchemaExtension_Depth_3,0
ExternalDocExtension,0
PathServer,0
RequestBodyExtension,0
SchemaType_object,425
ResponseCode_482,60
RequestBodyComponent,0
Schema_Depth_3,37
MinLength_Depth_3,19
MaxLength_Depth_3,19
RequiredSchema_Depth_2,52
Component,243
CallbackComponent,0
ResponseContent,388
MinLength_Depth_1,678
SchemaType_string,2035
AllOf_Depth_1,1371
ParameterComponent,7
GlobalSecurity,1
header_Parameter,487
PathExtension,0
ResponseCode_487,4
Items_Depth_2,19
SchemaType_boolean,7
Example,0
ResponseCode_486,11
ResponseContent_application/json,388
ComponentExtension,0
MinLength_Depth_2,277
SecuritySchemeComponent,1
Schema_Depth_2,1298
Schema_Depth_1,5311
MediaTypeExtension,0
Pattern_Depth_1,99
Callback,0
MinItems_Depth_2,3
SchemaComponent,235
ServerExtension,0
RequiredRequestBody,60
MediaTypeEncoding,0
ResponseExtension,0
Items_Depth_1,110
MaxItems_Depth_1,23
GlobalExtension,1
SchemaType_array,129
HeaderComponent,0
Path_Post,60
RequestBodyContent_application/json,60
Header,0
Maximum_Depth_2,15
RequiredParameter,60
RequestBody,60
SchemaType_integer,160
RequiredSchema_Depth_3,3
