OpenAPI feature,Count
Path,11
OperationParameter,35
Pattern_Depth_2,52
RequestBodyContent_application/json,5
Path_Put,2
RequestBodyComponent,0
GlobalWebhook,0
ServerExtension,0
SchemaType_array,14
Format_date-time_Depth_2,12
Operation,21
ParameterExtension,0
ResponseLink,0
RequestBody,5
Format_date-time_Depth_1,44
SecuritySchemeComponent,1
SecuritySchemeExtension,1
ComponentExtension,0
Encoding,0
Minimum_Depth_1,8
MediaTypeExtension,0
RequestBodyContent,5
header_Parameter,84
PathExtension,0
Maximum_Depth_1,5
Server,4
Link,0
MaxProperties_Depth_1,23
ResponseCode_481,21
HeaderComponent,0
ExternalDocExtension,0
Enum_Depth_1,65
OperationExtension,0
SchemaType_string,416
AllOf_Depth_2,42
ParameterComponent,7
ExampleComponent,0
GlobalExtension,1
path_Parameter,26
MinLength_Depth_1,121
Schema_Depth_2,163
RequestBodyExtension,0
MinItems_Depth_1,2
Tag,0
PathParameter,77
MaxItems_Depth_1,2
SchemaComponent,85
GlobalExternalDoc,1
ResponseExtension,0
MinProperties_Depth_1,23
ResponseCode_480,21
query_Parameter,9
SecurityScheme_Type_apiKey,1
RefSchema_Depth_1,339
Schema_Depth_1,1071
ResponsesExtension,0
ResponseCode_482,18
ResponseHeader,0
AllOf_Depth_1,254
AdditionalProperties_Depth_1,23
MaxLength_Depth_2,49
Path_Get,8
SecurityScheme_In_header,1
PathServer,0
Properties_Depth_1,269
MediaTypeEncoding,0
Properties_Depth_2,42
RequiredRequestBody,5
Path_Delete,5
ResponseCode_201,2
ResponseComponent,0
RequiredParameter,27
Path_Patch,2
SchemaType_integer,8
SchemaExtension_Depth_1,0
Responses,21
Response,85
ResponseCode_200,19
RefSchema_Depth_2,79
Callback,0
Path_Post,4
ServerVariable,4
CallbackComponent,0
Component,93
Pattern_Depth_1,163
Example,0
Header,0
SchemaType_object,135
SchemaExtension_Depth_2,0
RequiredSchema_Depth_1,12
Items_Depth_1,14
MaxLength_Depth_1,151
ResponseContent_application/json,85
Enum_Depth_2,0
ResponseCode_483,4
MinLength_Depth_2,20
LinkComponent,0
GlobalSecurity,1
ResponseContent,85
