OpenAPI feature,Count
ResponseContent_application/json,359
MinLength_Depth_2,26
Server,4
OperationExtension,0
RequiredSchema_Depth_3,27
PathParameter,392
AllOf_Depth_1,930
SchemaType_string,1563
AllOf_Depth_2,456
ResponseCode_483,22
Enum_Depth_2,251
Items_Depth_2,43
SchemaType_number,87
GlobalSecurity,1
RequestBodyContent,42
ResponseContent,359
Format_date-time_Depth_2,35
LinkComponent,0
PathServer,0
Items_Depth_1,186
SchemaExtension_Depth_3,0
ExternalDocExtension,0
MinItems_Depth_1,6
RequestBody,42
SchemaType_object,712
Properties_Depth_3,51
MaxLength_Depth_1,44
ResponseCode_200,81
ResponseCode_486,4
PathExtension,0
ResponseCode_484,11
RefSchema_Depth_3,94
Operation,81
Example,0
GlobalExternalDoc,1
ServerVariable,4
ResponseHeader,0
ResponseCode_488,1
Format_password_Depth_1,19
SecurityScheme_Type_apiKey,1
MediaTypeEncoding,0
AllOf_Depth_3,51
Path_Put,23
RefSchema_Depth_1,1295
SecuritySchemeExtension,1
MaxItems_Depth_1,6
Pattern_Depth_2,6
ResponseComponent,0
ResponseCode_480,81
path_Parameter,56
RequiredParameter,64
ResponseLink,0
RequiredSchema_Depth_1,279
query_Parameter,36
MaxLength_Depth_2,9
HeaderComponent,0
CallbackComponent,0
Encoding,0
Link,0
ResponseCode_485,6
Properties_Depth_1,1042
Path_Delete,11
RequestBodyExtension,0
Header,0
AdditionalProperties_Depth_1,8
Format_double_Depth_1,47
ServerExtension,0
SchemaExtension_Depth_1,0
ResponseCode_481,81
Path_Get,30
GlobalWebhook,0
Tag,0
Response,359
Properties_Depth_2,465
SchemaExtension_Depth_2,0
Path_Post,17
RequiredRequestBody,42
ResponseExtension,0
SchemaType_integer,97
Format_double_Depth_2,34
Format_double_Depth_3,6
SecuritySchemeComponent,1
SchemaType_boolean,85
ResponseCode_487,3
Format_password_Depth_2,6
ExampleComponent,0
Enum_Depth_3,51
Format_date-time_Depth_3,3
OperationParameter,92
ResponsesExtension,0
ResponseCode_482,69
Component,384
GlobalExtension,1
Path,56
RequestBodyComponent,0
SecurityScheme_In_header,1
header_Parameter,399
ParameterExtension,0
Responses,81
SchemaType_array,229
Format_date-time_Depth_1,47
ComponentExtension,0
RequestBodyContent_application/json,42
MediaTypeExtension,0
SchemaComponent,376
Callback,0
MinLength_Depth_1,89
RequiredSchema_Depth_2,173
Pattern_Depth_1,25
ParameterComponent,7
Enum_Depth_1,327
RefSchema_Depth_2,659
