OpenAPI feature,Count
ServerVariable,4
SchemaType_string,408
SchemaExtension_Depth_1,0
Pattern_Depth_1,21
header_Parameter,91
ResponseContent_application/json,69
Enum_Depth_2,81
AllOf_Depth_2,159
Items_Depth_2,6
Tag,0
OperationParameter,24
ResponsesExtension,0
ResponseCode_481,13
AdditionalProperties_Depth_2,6
MediaTypeExtension,0
GlobalExternalDoc,1
ResponseCode_480,13
SchemaType_array,43
Component,91
GlobalWebhook,0
SchemaType_boolean,9
RefSchema_Depth_2,212
GlobalExtension,1
PathExtension,0
ResponseCode_200,13
Properties_Depth_2,162
Format_date-time_Depth_1,22
SchemaExtension_Depth_2,0
HeaderComponent,0
GlobalSecurity,1
Header,0
RequestBodyExtension,0
SecuritySchemeComponent,1
ServerExtension,0
Path_Get,5
MinLength_Depth_1,53
CallbackComponent,0
Schema_Depth_1,810
SchemaExtension_Depth_3,0
Path_Delete,1
AdditionalProperties_Depth_1,13
LinkComponent,0
Maximum_Depth_1,5
ResponseContent,69
MinLength_Depth_2,21
MaxItems_Depth_1,8
SecurityScheme_In_header,1
Properties_Depth_1,186
RequestBodyContent_application/json,3
RequestBodyComponent,0
SecuritySchemeExtension,1
RequiredSchema_Depth_2,6
ParameterComponent,7
Example,0
MediaTypeEncoding,0
PathServer,0
RequestBody,3
ExampleComponent,0
Minimum_Depth_1,5
AllOf_Depth_1,177
Format_date-time_Depth_3,3
Link,0
path_Parameter,10
Format_date-time_Depth_2,12
MinItems_Depth_1,8
MaxLength_Depth_1,53
ResponseHeader,0
SchemaType_object,138
Enum_Depth_3,12
Callback,0
RequiredRequestBody,3
RequestBodyContent,3
SchemaComponent,83
ComponentExtension,0
Server,4
RefSchema_Depth_1,248
ResponseLink,0
SecurityScheme_Type_apiKey,1
Operation,13
SchemaType_integer,42
RefSchema_Depth_3,36
Path_Post,7
ExternalDocExtension,0
Enum_Depth_1,109
Responses,13
Response,71
PathParameter,84
Items_Depth_1,37
Schema_Depth_2,530
ResponseCode_484,8
query_Parameter,14
ResponseCode_482,13
ResponseCode_483,10
MaxLength_Depth_2,21
Schema_Depth_3,84
RequiredSchema_Depth_1,10
AllOf_Depth_3,24
Path,12
Encoding,0
ParameterExtension,0
RequiredParameter,12
OperationExtension,0
Properties_Depth_3,24
ResponseCode_485,1
ResponseExtension,0
ResponseComponent,0
