OpenAPI feature,Count
OperationParameter,29
RequestBodyContent_application/json,25
MaxLength_Depth_2,221
GlobalExternalDoc,1
Operation,25
RefSchema_Depth_1,786
MediaTypeEncoding,0
PathExtension,0
Encoding,0
Items_Depth_1,90
Properties_Depth_3,75
MaxLength_Depth_1,291
Format_date-time_Depth_1,13
query_Parameter,4
Minimum_Depth_2,3
Enum_Depth_3,119
Response,84
SchemaExample_Depth_1,26
AllOf_Depth_4,9
SchemaExtension_Depth_4,0
ComponentExtension,0
Path_Post,25
RequestBody,25
RequiredSchema_Depth_3,3
AllOf_Depth_1,663
Header,0
ResponseExtension,0
ParameterExtension,0
SchemaType_boolean,53
SchemaExtension_Depth_2,0
Pattern_Depth_2,85
ResponseComponent,0
HeaderComponent,0
ExternalDocExtension,0
RequiredRequestBody,25
ResponseLink,0
RequiredSchema_Depth_1,49
Pattern_Depth_4,3
ResponseHeader,0
ResponseCode_480,24
Properties_Depth_4,9
SecuritySchemeComponent,1
Example,26
Minimum_Depth_1,30
AllOf_Depth_3,75
ResponseCode_482,8
ResponseContent,84
Link,0
Callback,0
PathServer,0
Maximum_Depth_1,13
LinkComponent,0
SchemaType_object,428
Pattern_Depth_3,28
ResponseCode_481,17
ResponseCode_483,5
ResponseCode_484,4
Enum_Depth_4,15
SchemaExtension_Depth_1,0
Items_Depth_2,47
Responses,25
ResponseCode_200,25
Enum_Depth_1,469
Properties_Depth_2,425
RequiredSchema_Depth_2,16
MinLength_Depth_2,178
MediaTypeExtension,0
RefSchema_Depth_4,15
RequestBodyComponent,0
ServerVariable,4
Component,139
Path,25
RequiredParameter,25
Pattern_Depth_1,146
AllOf_Depth_2,419
SchemaType_integer,67
MaxLength_Depth_3,37
ExampleComponent,0
GlobalSecurity,1
RequestBodyContent,25
RefSchema_Depth_2,515
RefSchema_Depth_3,122
MinLength_Depth_3,15
SecurityScheme_Type_apiKey,1
Server,4
ParameterComponent,7
CallbackComponent,0
GlobalExtension,1
header_Parameter,207
Properties_Depth_1,677
SchemaType_array,143
PathParameter,175
SchemaComponent,131
SchemaType_string,1019
ResponseContent_application/json,84
Tag,0
MaxLength_Depth_4,3
SecuritySchemeExtension,1
GlobalWebhook,0
SchemaExtension_Depth_3,0
Format_date-time_Depth_2,17
Items_Depth_3,6
RequestBodyExtension,0
MinLength_Depth_1,245
ResponseCode_485,1
SecurityScheme_In_header,1
ServerExtension,0
OperationExtension,0
Enum_Depth_2,489
ResponsesExtension,0
