OpenAPI feature,Count
GlobalExtension,1
Encoding,0
Properties_Depth_1,207
SchemaType_integer,50
Items_Depth_3,24
OperationExtension,40
AllOf_Depth_2,277
SchemaExtension_Depth_2,0
ResponseCode_200,40
AllOf_Depth_1,207
RequestBodyComponent,0
Path,37
RequiredParameter,130
ResponseContent,82
Callback,0
ResponseCode_483,6
ExampleComponent,0
MediaTypeEncoding,0
ResponseLink,0
header_Parameter,266
Enum_Depth_3,0
SchemaExtension_Depth_3,0
ServerExtension,0
Response,100
ResponseHeader,0
AdditionalProperties_Depth_2,16
RefSchema_Depth_3,98
RequiredSchema_Depth_1,103
SchemaComponent,90
ServerVariable,4
RefSchema_Depth_4,24
HeaderComponent,0
SecuritySchemeComponent,1
GlobalSecurity,1
query_Parameter,120
Example,0
PathExtension,0
Enum_Depth_4,0
XMLSchema_Depth_4,24
ResponseCode_485,2
ExternalDocExtension,0
Component,98
OperationParameter,154
XMLExtension,0
Enum_Depth_2,147
ResponsesExtension,0
PathParameter,259
SchemaExtension_Depth_4,0
AdditionalProperties_Depth_1,33
ParameterExtension,0
Responses,40
AllOf_Depth_4,24
SecurityScheme_Type_apiKey,1
SchemaExtension_Depth_1,0
Items_Depth_1,74
RequestBody,20
ResponseComponent,0
GlobalWebhook,0
Tag,0
PathServer,0
ResponseCode_481,16
RequestBodyContent_text/xml,20
Items_Depth_2,22
CallbackComponent,0
RefSchema_Depth_2,310
path_Parameter,34
SchemaType_object,193
RequiredSchema_Depth_3,12
ResponseCode_484,2
RequestBodyExtension,0
SecurityScheme_In_header,1
ComponentExtension,0
Properties_Depth_4,0
Operation,40
SchemaType_string,800
SchemaType_array,120
ResponseCode_480,28
MediaTypeExtension,0
RequiredSchema_Depth_2,85
Properties_Depth_3,60
XMLSchema_Depth_3,58
SchemaType_boolean,12
SecuritySchemeExtension,1
Path_Get,20
Enum_Depth_1,110
XMLSchema_Depth_1,127
ResponseContent_text/xml,82
Link,0
ResponseCode_482,6
Server,4
Properties_Depth_2,203
Header,0
ResponseExtension,0
AllOf_Depth_3,82
Path_Post,20
XMLSchema_Depth_2,139
RefSchema_Depth_1,309
RequestBodyContent,20
ParameterComponent,7
LinkComponent,0
GlobalExternalDoc,1
