OpenAPI feature,Count
SchemaExtension_Depth_1,0
MinLength_Depth_3,3
Properties_Depth_1,378
PathServer,0
Minimum_Depth_2,15
RefSchema_Depth_4,3
OperationParameter,18
RequiredSchema_Depth_2,10
ResponseComponent,0
ExampleComponent,0
GlobalSecurity,1
Operation,13
ResponseCode_200,13
ResponseCode_482,8
header_Parameter,77
MinItems_Depth_1,28
Enum_Depth_4,0
SchemaComponent,88
RequestBodyComponent,0
GlobalWebhook,0
MaxLength_Depth_1,145
RefSchema_Depth_1,400
Enum_Depth_2,60
Format_date-time_Depth_2,30
Items_Depth_1,50
AllOf_Depth_2,194
Pattern_Depth_1,48
Responses,13
ResponseCode_483,4
MaxProperties_Depth_1,12
MaxItems_Depth_3,3
PathParameter,70
Pattern_Depth_3,10
Path_Get,2
MinItems_Depth_3,3
MinLength_Depth_1,144
ResponsesExtension,0
Callback,0
MaxItems_Depth_1,28
ResponseHeader,0
MaxLength_Depth_3,6
Pattern_Depth_4,3
ResponseExtension,0
RequestBodyContent,7
Minimum_Depth_1,65
Properties_Depth_2,203
Maximum_Depth_1,65
Encoding,0
Link,0
RequestBodyContent_application/json,7
SchemaType_integer,80
RequiredSchema_Depth_1,23
AdditionalProperties_Depth_2,3
Component,96
ServerExtension,0
Path_Post,8
MinLength_Depth_2,69
LinkComponent,0
HeaderComponent,0
ExternalDocExtension,0
Response,51
ResponseContent_application/json,51
ResponseCode_481,13
MinProperties_Depth_2,3
MediaTypeExtension,0
SchemaType_object,209
RefSchema_Depth_2,271
MaxItems_Depth_2,16
Path,10
Header,0
GlobalExternalDoc,1
ResponseCode_480,13
Path_Delete,2
ComponentExtension,0
ResponseContent,51
SchemaExtension_Depth_2,0
Enum_Depth_3,0
AllOf_Depth_3,6
path_Parameter,9
PathExtension,0
MaxLength_Depth_2,81
MinProperties_Depth_1,12
SecurityScheme_Type_apiKey,1
Example,0
AdditionalProperties_Depth_1,18
MinItems_Depth_2,16
Items_Depth_3,3
RequiredSchema_Depth_3,3
SchemaType_string,503
AllOf_Depth_1,334
SchemaType_array,72
Path_Patch,1
RequiredParameter,10
SchemaType_boolean,15
Format_date-time_Depth_1,33
ServerVariable,4
OperationExtension,0
RequestBodyExtension,0
SecuritySchemeExtension,1
ParameterExtension,0
Items_Depth_2,19
Pattern_Depth_2,31
RequiredRequestBody,7
ParameterComponent,7
SecurityScheme_In_header,1
SecuritySchemeComponent,1
MaxProperties_Depth_2,3
Server,4
Tag,0
MediaTypeEncoding,0
query_Parameter,9
GlobalExtension,1
SchemaExtension_Depth_3,0
Properties_Depth_4,0
SchemaExtension_Depth_4,0
ResponseLink,0
RequestBody,7
RefSchema_Depth_3,28
Maximum_Depth_2,15
Enum_Depth_1,90
Properties_Depth_3,6
CallbackComponent,0
