OpenAPI feature,Count
Enum_Depth_1,2745
MaxLength_Depth_1,382
AllOf_Depth_2,915
ResponseComponent,0
RequestBodyComponent,0
Encoding,0
Schema_Depth_3,531
SecuritySchemeComponent,1
MaxItems_Depth_1,50
PathServer,0
PathParameter,273
AdditionalProperties_Depth_1,5
Minimum_Depth_1,151
LinkComponent,0
ResponseContent_application/json,182
ResponseCode_482,39
SchemaType_boolean,142
RequiredSchema_Depth_1,162
Format_float_Depth_1,12
GlobalExternalDoc,1
GlobalWebhook,0
Example,0
RefSchema_Depth_1,1416
Items_Depth_1,122
Enum_Depth_2,1566
Callback,0
Pattern_Depth_2,55
RequiredRequestBody,39
RequestBodyContent_application/json,39
SchemaExtension_Depth_2,0
ServerVariable,4
ServerExtension,0
MediaTypeExtension,0
MaxItems_Depth_2,3
Format_float_Depth_2,3
SecuritySchemeExtension,1
ExternalDocExtension,0
RequestBodyExtension,0
ResponsesExtension,0
PathExtension,0
MinProperties_Depth_1,5
ResponseCode_484,5
ParameterComponent,7
Response,188
ResponseHeader,0
ResponseCode_481,39
MinItems_Depth_1,77
Maximum_Depth_1,151
Format_date-time_Depth_2,47
OperationExtension,0
MaxProperties_Depth_1,5
SchemaType_object,584
MinItems_Depth_3,6
Schema_Depth_4,6
Properties_Depth_4,0
Properties_Depth_1,1195
Pattern_Depth_1,377
Link,0
RequiredSchema_Depth_3,9
CallbackComponent,0
RequestBodyContent,39
Enum_Depth_3,69
AllOf_Depth_3,168
SecurityScheme_Type_apiKey,1
Server,4
RequiredParameter,39
SchemaComponent,175
Path,39
Operation,39
Responses,39
Properties_Depth_2,918
SchemaType_string,1453
ResponseExtension,0
MinLength_Depth_3,12
Pattern_Depth_4,3
SchemaType_array,155
SchemaType_integer,669
Properties_Depth_3,168
MaxLength_Depth_3,12
SchemaExtension_Depth_4,0
ResponseCode_483,27
ComponentExtension,0
header_Parameter,319
SchemaExtension_Depth_1,0
MinLength_Depth_1,344
Maximum_Depth_2,416
Minimum_Depth_3,102
RequiredSchema_Depth_2,102
RefSchema_Depth_3,195
Enum_Depth_4,12
Component,183
Path_Post,39
SchemaExtension_Depth_3,0
HeaderComponent,0
GlobalSecurity,1
ResponseLink,0
RefSchema_Depth_4,6
MinLength_Depth_4,3
GlobalExtension,1
ParameterExtension,0
MediaTypeEncoding,0
RefSchema_Depth_2,1045
ExampleComponent,0
SecurityScheme_In_header,1
Tag,0
ResponseCode_480,39
Minimum_Depth_2,416
Items_Depth_2,27
Maximum_Depth_3,102
AllOf_Depth_1,1167
ResponseContent,182
Pattern_Depth_3,12
RequestBody,39
Header,0
ResponseCode_200,39
Format_date-time_Depth_1,95
MinLength_Depth_2,117
MaxLength_Depth_4,3
OperationParameter,55
Schema_Depth_1,4260
MinItems_Depth_2,27
MaxLength_Depth_2,117
SchemaType_number,15
Schema_Depth_2,2875
query_Parameter,16
Items_Depth_3,6
