OpenAPI feature,Count
GlobalExternalDoc,1
RefSchema_Depth_2,459
Minimum_Depth_1,46
ParameterComponent,7
Link,0
MaxLength_Depth_2,222
MediaTypeExtension,0
MaxLength_Depth_3,29
Path_Post,7
RefSchema_Depth_1,792
RequestBodyExtension,0
Minimum_Depth_3,15
RequiredSchema_Depth_2,3
Enum_Depth_1,293
PathExtension,0
Maximum_Depth_2,3
RequestBodyContent_application/json,15
header_Parameter,189
AdditionalProperties_Depth_1,39
SecurityScheme_Type_apiKey,1
Pattern_Depth_1,111
PathParameter,182
AllOf_Depth_3,10
CallbackComponent,0
ServerVariable,4
ResponseCode_200,31
AllOf_Depth_1,92
AllOf_Depth_2,71
MaxProperties_Depth_1,15
LinkComponent,0
Header,0
ResponseExtension,0
Pattern_Depth_2,40
ResponseContent,183
Items_Depth_2,19
ResponseCode_483,28
ResponseHeader,0
RequiredParameter,43
SchemaType_object,277
Response,188
Maximum_Depth_1,45
SchemaExtension_Depth_2,0
ServerExtension,0
Callback,0
Path_Get,13
RequestBodyComponent,0
SecuritySchemeExtension,1
MediaTypeEncoding,0
RequiredRequestBody,15
RequestBodyContent,15
RequiredSchema_Depth_1,35
RefSchema_Depth_3,64
SchemaExtension_Depth_3,0
MaxItems_Depth_1,41
RequestBody,15
SchemaType_string,1124
ResponseCode_480,31
Properties_Depth_1,665
Example,0
Path_Put,1
Path,26
OperationParameter,71
Items_Depth_1,135
Enum_Depth_3,36
MinItems_Depth_1,7
Path_Delete,3
Server,4
PathServer,0
Properties_Depth_3,30
ExampleComponent,0
ResponseCode_481,31
SchemaType_integer,82
MinLength_Depth_2,191
ResponseComponent,0
path_Parameter,39
ResponseContent_application/json,183
ResponseCode_482,28
SchemaType_array,154
ResponseCode_486,2
ExternalDocExtension,0
OperationExtension,0
query_Parameter,32
GlobalWebhook,0
ResponsesExtension,0
Tag,0
SchemaExtension_Depth_1,0
ResponseCode_484,24
Properties_Depth_2,285
AdditionalProperties_Depth_2,15
SecurityScheme_In_header,1
GlobalExtension,1
Path_Patch,7
Format_date-time_Depth_1,29
Component,186
SecuritySchemeComponent,1
ResponseLink,0
GlobalSecurity,1
SchemaType_boolean,23
Format_date-time_Depth_2,12
Minimum_Depth_2,21
SchemaComponent,178
Encoding,0
MinLength_Depth_1,187
Enum_Depth_2,223
ComponentExtension,0
Operation,31
HeaderComponent,0
MinProperties_Depth_1,15
MaxLength_Depth_1,264
Responses,31
ResponseCode_485,13
MinLength_Depth_3,29
ParameterExtension,0
