OpenAPI feature,Count
Encoding,0
ParameterExtension,0
RequestBodyContent,13
LinkComponent,0
Component,20
HeaderComponent,0
SchemaType_integer,111
Path_Get,14
SchemaExtension_Depth_2,10
Enum_Depth_3,0
ParameterComponent,0
GlobalExtension,0
OperationParameter,13
Header,0
ResponseContent,100
RefSchema_Depth_2,14
ResponseContent_application/x-protobuf,3
RequestBodyContent_*/*,5
MediaTypeEncoding,0
PathServer,0
PathParameter,18
ResponseExtension,0
AdditionalProperties_Depth_1,13
CallbackComponent,0
ServerVariable,0
TagExtension,0
RequestBodyExtension,0
ResponseHeader,0
ResponseCode_409,5
ResponseCode_200,20
OperationExtension,3
Enum_Depth_1,276
RequestBody,13
ResponseCode_204,13
Enum_Depth_2,64
SchemaExample_Depth_2,10
Path_Delete,6
Tag,6
RefSchema_Depth_1,139
ResponseCode_500,32
path_Parameter,18
ResponseCode_400,5
SchemaComponent,16
ServerExtension,0
MediaTypeExtension,0
ResponseCode_404,26
Callback,0
SchemaExtension_Depth_3,0
ResponseComponent,4
ComponentExtension,0
ResponseContent_application/json,92
PathExtension,0
query_Parameter,8
Format_date-time_Depth_2,6
RequestBodyContent_application/json,8
SecuritySchemeComponent,0
header_Parameter,5
SchemaType_object,120
SchemaType_array,26
Format_int64_Depth_2,3
ExampleComponent,0
GlobalWebhook,0
Path_Put,8
Responses,33
ResponseLink,0
ExampleExtension,0
Format_date-time_Depth_1,18
RequiredSchema_Depth_2,22
Items_Depth_2,4
OperationTag,33
SchemaType_string,354
Properties_Depth_1,390
Format_int32_Depth_1,74
Path,17
SchemaExample_Depth_1,121
RequestBodyComponent,0
Operation,33
Example,211
RequiredParameter,22
ResponseContent_application/graphql,2
ResponseContent_application/x-protobuffer,3
SchemaExtension_Depth_1,37
ResponsesExtension,0
Link,0
Items_Depth_1,22
Path_Post,5
RequiredSchema_Depth_1,103
Format_int64_Depth_1,21
Properties_Depth_3,0
Server,1
RequiredRequestBody,13
Response,101
Properties_Depth_2,38
Format_int32_Depth_2,2
