OpenAPI feature,Count
OperationParameter,25
Encoding,0
SchemaType_integer,22
Items_Depth_2,13
SchemaExample_Depth_2,405
ResponseExtension,0
SchemaExtension_Depth_2,179
AnyOf_Depth_2,4
OperationExtension,11
RequiredSchema_Depth_3,6
Format_email_Depth_1,1
ParameterExtension,0
Header,0
DeprecatedSchema_Depth_1,1
ResponseCode_404,5
ResponseContent,48
Format_date_Depth_1,2
LinkComponent,0
ServerExtension,0
SchemaType_object,187
AnyOf_Depth_1,24
SchemaExample_Depth_3,96
Properties_Depth_1,770
Path_Delete,1
Path_Patch,1
SecurityScheme_In_header,1
Tag,1
TagExtension,2
Path,2
OperationTag,5
Enum_Depth_1,3175
header_Parameter,18
Enum_Depth_3,72
SchemaExtension_Depth_3,36
DefaultResponse,5
RequestBodyContent,2
ResponseCode_201,1
Component,55
Enum_Depth_2,1529
GlobalExternalDoc,1
RequiredParameter,16
ResponseContent_application/json,48
RequiredSchema_Depth_2,28
path_Parameter,4
ResponseHeader,0
MediaTypeEncoding,0
RequiredRequestBody,2
SchemaType_string,1139
Responses,5
MinLength_Depth_3,6
ServerVariable,0
Path_Get,2
RefSchema_Depth_1,115
Link,0
NullableSchema_Depth_3,78
ResponseCode_400,5
Format_email_Depth_2,9
GlobalWebhook,0
NullableSchema_Depth_2,324
query_Parameter,10
Items_Depth_1,47
SecurityScheme_Type_apiKey,1
Example,1230
NullableSchema_Depth_1,285
Response,35
MediaTypeExtension,0
ResponseComponent,13
ParameterExample,6
ResponseLink,0
Properties_Depth_3,96
ResponseCode_401,5
Path_Post,1
Operation,5
Schema_Depth_1,936
Minimum_Depth_1,2
ResponsesExtension,0
RefSchema_Depth_3,12
Format_email_Depth_3,3
SchemaComponent,34
MinLength_Depth_1,8
CallbackComponent,0
ResponseCode_200,4
Schema_Depth_2,472
RequestBodyComponent,0
SchemaType_boolean,24
ReadOnlySchema_Depth_2,15
RequestBodyExtension,0
ExampleComponent,0
ComponentExtension,0
ExternalDocExtension,0
GlobalExtension,0
Maximum_Depth_1,2
Format_date-time_Depth_2,6
ReadOnlySchema_Depth_1,70
SchemaExtension_Depth_1,220
SchemaExample_Depth_1,723
Format_date-time_Depth_1,26
MinLength_Depth_2,24
HeaderComponent,0
RefSchema_Depth_2,69
Properties_Depth_2,409
Callback,0
PathParameter,0
PathExtension,0
SecuritySchemeComponent,1
GlobalSecurity,1
SchemaType_number,57
SchemaType_array,60
RequestBodyContent_application/json,2
ParameterComponent,7
ResponseCode_422,5
RequiredSchema_Depth_1,111
Schema_Depth_3,109
PathServer,0
AdditionalPropertiesAllowed_Depth_1,2
SecuritySchemeExtension,0
Server,1
ResponseCode_402,5
RequestBody,2
