OpenAPI feature,Count
Component,46
ExampleComponent,0
ResponsesExtension,0
ResponseLink,0
Callback,0
ResponseCode_200,12
RequiredSchema_Depth_3,250
NullableSchema_Depth_1,65
Schema_Depth_4,120
GlobalExtension,0
Path,12
Encoding,0
SchemaExtension_Depth_4,0
ParameterComponent,5
Items_Depth_2,71
PathExtension,0
Format_date-time_Depth_1,84
SchemaType_integer,208
ReadOnlySchema_Depth_1,131
query_Parameter,16
ReadOnlySchema_Depth_3,108
Enum_Depth_4,0
ServerVariable,0
OperationParameter,32
RequiredSchema_Depth_2,276
Properties_Depth_3,597
MediaTypeEncoding,0
PathParameter,0
RefSchema_Depth_4,30
ExternalDocExtension,0
ParameterExtension,0
ResponseContent_application/json,21
RefSchema_Depth_1,144
Properties_Depth_2,975
Properties_Depth_4,90
RefSchema_Depth_2,150
Schema_Depth_3,668
MediaTypeExtension,0
Format_date-time_Depth_3,60
Example,506
SchemaType_object,416
Schema_Depth_2,1034
Enum_Depth_2,158
SchemaExtension_Depth_2,0
NullableSchema_Depth_2,35
ResponseComponent,9
HeaderComponent,0
Schema_Depth_1,1561
Properties_Depth_1,1471
SchemaType_array,160
ComponentExtension,0
GlobalExternalDoc,1
GlobalWebhook,0
Tag,5
ReadOnlySchema_Depth_2,193
SchemaExtension_Depth_3,0
SchemaExample_Depth_3,114
LinkComponent,0
OperationTag,12
Enum_Depth_1,214
Header,0
Responses,12
ResponseContent,21
SchemaExample_Depth_2,152
RefSchema_Depth_3,131
SchemaComponent,32
ServerExtension,0
SchemaType_string,2302
SchemaExtension_Depth_1,0
Link,0
SchemaType_boolean,297
Operation,12
OperationExtension,0
path_Parameter,21
PathServer,0
NullableSchema_Depth_3,30
CallbackComponent,0
Path_Get,12
RequiredSchema_Depth_1,253
Format_date-time_Depth_2,118
SecuritySchemeComponent,0
Server,1
Items_Depth_3,30
RequiredSchema_Depth_4,60
ResponseHeader,0
Items_Depth_1,59
Enum_Depth_3,102
SchemaExample_Depth_1,240
ResponseExtension,0
TagExtension,0
RequiredParameter,21
Response,12
Maximum_Depth_1,7
Minimum_Depth_1,7
RequestBodyComponent,0
