OpenAPI feature,Count
SchemaType_boolean,318
SchemaType_array,431
ReadOnlySchema_Depth_1,505
ResponseContent,161
Path_Post,5
Schema_Depth_3,526
Schema_Depth_7,12
Path_Delete,2
SchemaType_number,469
Minimum_Depth_1,3
AnyOf_Depth_7,3
Schema_Depth_1,2320
DefaultResponse,20
PathParameter,0
RequestBodyContent,8
SecuritySchemeExtension,0
Path,13
Operation,20
SchemaExample_Depth_6,18
RefSchema_Depth_5,29
ParameterStyle_deepObject,2
MediaTypeExample,5
CallbackComponent,0
OperationParameter,70
Callback,0
Items_Depth_5,26
HeaderComponent,0
ResponseCode_401,20
RefSchema_Depth_1,299
ResponseCode_301,3
Enum_Depth_3,73
SchemaExtension_Depth_5,26
Properties_Depth_7,0
GlobalWebhook,0
ResponseCode_422,20
RequestBodyContent_application/json,8
path_Parameter,32
Enum_Depth_5,0
SchemaExtension_Depth_6,3
ReadOnlySchema_Depth_3,20
Items_Depth_6,3
TagExtension,4
SchemaExample_Depth_2,701
AnyOf_Depth_2,6
AdditionalPropertiesAllowed_Depth_1,40
Enum_Depth_1,378
ResponsesExtension,0
AnyOf_Depth_1,71
Items_Depth_1,162
Schema_Depth_2,897
Format_date-time_Depth_1,4
AnyOf_Depth_3,55
GlobalExtension,1
SecuritySchemeComponent,2
GlobalSecurity,2
ReadOnlySchema_Depth_2,133
Header,0
Properties_Depth_3,212
SchemaExtension_Depth_4,60
Properties_Depth_6,6
ParameterExample,67
SchemaExample_Depth_5,153
ResponseComponent,25
Tag,4
header_Parameter,28
RequiredSchema_Depth_1,167
Items_Depth_4,63
SchemaComponent,47
RequestBodyComponent,0
Server,1
MediaTypeEncoding,0
Enum_Depth_2,547
ParameterStyle_spaceDelimited,2
ParameterComponent,18
Example,3389
RefSchema_Depth_2,84
ResponseCode_200,16
SchemaExample_Depth_3,335
Format_uri_Depth_1,2
SecurityScheme_In_header,2
ResponseCode_402,20
SchemaType_object,668
ResponseLink,0
Items_Depth_2,96
Schema_Depth_6,116
Maximum_Depth_1,3
ResponseHeader,0
RequiredRequestBody,6
Schema_Depth_4,572
Properties_Depth_5,55
ReadOnlySchema_Depth_4,3
RequiredParameter,73
Responses,20
RefSchema_Depth_3,58
AdditionalPropertiesAllowed_Depth_2,17
RequiredSchema_Depth_2,69
SchemaExtension_Depth_1,382
ExplodeParameter,2
PathServer,0
SchemaExtension_Depth_2,121
Schema_Depth_5,359
Path_Patch,3
ResponseCode_204,1
Pattern_Depth_1,2
ComponentExtension,0
ResponseCode_404,20
Enum_Depth_4,6
Enum_Depth_6,0
ParameterExtension,0
OperationTag,20
Response,140
ResponseContent_application/json,161
ResponseExtension,0
RequestBody,8
AnyOf_Depth_5,66
Path_Get,10
SchemaType_integer,272
RefSchema_Depth_6,3
SchemaExtension_Depth_7,0
Component,92
GlobalExternalDoc,1
OperationExtension,59
ServerExtension,0
Encoding,0
Properties_Depth_1,1868
MediaTypeExtension,0
Properties_Depth_4,146
ExampleComponent,0
ServerVariable,0
SchemaExample_Depth_4,337
SchemaExtension_Depth_3,61
Link,0
ResponseCode_400,20
Properties_Depth_2,712
NullableSchema_Depth_1,156
AnyOf_Depth_4,95
ExternalDocExtension,0
query_Parameter,28
RefSchema_Depth_4,77
AnyOf_Depth_6,26
NullableSchema_Depth_2,142
LinkComponent,0
PathExtension,0
SchemaExample_Depth_1,1773
RequestBodyExtension,0
Items_Depth_3,81
Enum_Depth_7,0
SchemaType_string,2292
SecurityScheme_Type_apiKey,2
NullableSchema_Depth_3,15
