OpenAPI feature,Count
ServerVariable,0
Properties_Depth_1,258
ResponseContent_application/json,28
SchemaType_integer,7
Tag,0
RequestBodyExtension,0
ResponseCode_401,3
ResponseCode_500,3
SecurityScheme_Type_apiKey,2
Format_uuid_Depth_1,7
Responses,3
Callback,0
Properties_Depth_2,11
GlobalWebhook,0
Enum_Depth_1,107
Example,90
ResponseHeader,0
SchemaExtension_Depth_1,0
Link,0
OperationParameter,0
Format_date-time_Depth_1,12
PathExtension,0
ExampleComponent,0
RequestBodyComponent,0
SchemaType_number,8
Header,0
ResponseCode_503,3
ResponseComponent,7
Enum_Depth_2,0
OperationTag,3
RequestBodyContent,3
RequiredSchema_Depth_1,196
SchemaExample_Depth_1,76
ResponseCode_404,3
XMLSchema_Depth_1,65
SchemaType_array,1
SecuritySchemeExtension,0
MediaTypeExtension,0
PathServer,0
Path_Post,3
MediaTypeEncoding,0
ResponsesExtension,0
ResponseLink,0
Items_Depth_1,1
ResponseCode_504,3
GlobalExtension,0
Path,3
OperationExtension,0
SchemaType_object,87
SchemaType_string,196
MinLength_Depth_1,78
ResponseCode_200,3
Component,11
XMLExtension,0
XMLAttribute,74
HeaderComponent,0
LinkComponent,0
ComponentExtension,0
XMLSchema_Depth_2,12
SecuritySchemeComponent,2
ServerExtension,0
RefSchema_Depth_1,3
PathParameter,0
MinLength_Depth_2,5
ParameterComponent,0
XMLWrapped,1
Operation,3
RequestBodyContent_application/json,3
Response,24
ResponseContent_application/pdf,3
MediaTypeExample,3
ResponseExtension,0
ResponseCode_400,3
RequiredSchema_Depth_2,11
SchemaExample_Depth_2,11
CallbackComponent,0
Server,1
RequestBody,3
Encoding,0
ResponseCode_502,3
SchemaExtension_Depth_2,0
ResponseContent,31
SchemaComponent,2
SecurityScheme_In_header,2
