OpenAPI feature,Count
RefSchema_Depth_1,2
ResponsesExtension,0
SchemaType_array,1
SchemaExample_Depth_2,11
GlobalWebhook,0
Server,1
Encoding,0
RequiredSchema_Depth_1,172
SchemaExample_Depth_1,79
MediaTypeExtension,0
Callback,0
SecurityScheme_In_header,2
LinkComponent,0
OperationExtension,0
MinLength_Depth_1,64
MediaTypeEncoding,0
ResponseCode_401,2
PathExtension,0
Items_Depth_1,1
XMLSchema_Depth_2,12
SchemaType_number,6
ResponseCode_200,2
ResponseContent_application/pdf,2
ResponseCode_400,2
MinLength_Depth_2,5
SecuritySchemeComponent,2
RequestBodyContent_application/json,2
ResponseCode_502,2
Link,0
Enum_Depth_2,0
RequiredSchema_Depth_2,11
OperationTag,2
ResponseLink,0
HeaderComponent,0
SecurityScheme_Type_apiKey,2
ComponentExtension,0
ResponseExtension,0
ServerVariable,0
Tag,0
OperationParameter,0
RequestBodyExtension,0
RequestBodyContent,2
Enum_Depth_1,80
ResponseCode_500,2
SchemaType_integer,7
ParameterComponent,0
SchemaType_string,170
SchemaExtension_Depth_1,0
ResponseCode_404,2
Properties_Depth_2,11
ExampleComponent,0
Path,2
Path_Post,2
Properties_Depth_1,218
Example,92
ResponseCode_503,2
Responses,2
Response,16
PathServer,0
XMLExtension,0
SecuritySchemeExtension,0
GlobalExtension,0
ResponseContent_application/json,21
SchemaExtension_Depth_2,0
RequestBodyComponent,0
Operation,2
SchemaComponent,2
XMLSchema_Depth_1,65
XMLWrapped,1
CallbackComponent,0
ServerExtension,0
RequestBody,2
SchemaType_object,68
Format_uuid_Depth_1,5
Format_date-time_Depth_1,9
ResponseContent,23
Component,11
ResponseComponent,7
ResponseHeader,0
Header,0
ResponseCode_504,2
MediaTypeExample,2
PathParameter,0
XMLAttribute,74
