OpenAPI feature,Count
Enum_Depth_1,53
Properties_Depth_1,163
ResponseCode_200,1
RefSchema_Depth_1,1
ResponseExtension,0
ResponseCode_502,1
ResponseCode_503,1
SchemaExtension_Depth_2,0
ResponseContent_application/json,14
ExampleComponent,0
CallbackComponent,0
Server,1
ServerVariable,0
Example,79
Format_date-time_Depth_1,6
ResponseCode_400,1
ResponseCode_404,1
XMLAttribute,74
Items_Depth_1,1
Tag,0
SchemaType_object,49
ResponseCode_500,1
ResponseContent,15
PathParameter,0
SchemaComponent,2
Enum_Depth_2,0
SecuritySchemeComponent,2
Encoding,0
MediaTypeExtension,0
Header,0
SchemaType_array,1
XMLSchema_Depth_2,12
Operation,1
ResponseContent_application/pdf,1
MinLength_Depth_2,5
ComponentExtension,0
Properties_Depth_2,11
Format_uuid_Depth_1,3
Responses,1
Response,8
ResponseCode_504,1
ResponseCode_401,1
XMLWrapped,1
PathServer,0
SchemaExample_Depth_1,67
XMLSchema_Depth_1,65
ResponseComponent,7
LinkComponent,0
RequestBodyContent_application/json,1
SchemaType_string,129
ResponseLink,0
PathExtension,0
RequiredSchema_Depth_2,11
SchemaExample_Depth_2,11
OperationExtension,0
MediaTypeEncoding,0
ResponseHeader,0
ParameterComponent,0
HeaderComponent,0
SecurityScheme_Type_apiKey,2
RequestBodyComponent,0
GlobalWebhook,0
Path,1
OperationTag,1
RequestBodyContent,1
SchemaExtension_Depth_1,0
ResponsesExtension,0
MediaTypeExample,1
SchemaType_number,4
XMLExtension,0
SchemaType_integer,7
SecuritySchemeExtension,0
SecurityScheme_In_header,2
OperationParameter,0
RequestBody,1
RequestBodyExtension,0
RequiredSchema_Depth_1,133
Callback,0
Component,11
GlobalExtension,0
ServerExtension,0
Path_Post,1
MinLength_Depth_1,50
Link,0
