OpenAPI feature,Count
Path,1
ResponseLink,0
ResponseCode_404,1
XMLSchema_Depth_1,65
ExampleComponent,0
RequestBodyContent,1
Encoding,0
ResponseExtension,0
Component,11
ResponseCode_400,1
ResponseCode_500,1
PathServer,0
GlobalExtension,0
RequestBodyContent_application/json,1
SchemaExample_Depth_2,11
SchemaType_integer,7
SecurityScheme_Type_apiKey,2
RequestBody,1
Enum_Depth_1,53
Header,0
Properties_Depth_2,11
ServerExtension,0
Operation,1
Example,81
ResponsesExtension,0
ResponseCode_503,1
ResponseContent_application/pdf,1
SchemaExtension_Depth_2,0
HeaderComponent,0
CallbackComponent,0
ComponentExtension,0
Properties_Depth_1,165
Responses,1
Response,8
MediaTypeExample,1
OperationTag,1
Format_uuid_Depth_1,3
Link,0
Enum_Depth_2,0
SecurityScheme_In_header,2
MediaTypeEncoding,0
XMLExtension,0
XMLAttribute,74
LinkComponent,0
ServerVariable,0
OperationExtension,0
SchemaExtension_Depth_1,0
SchemaType_string,131
SchemaExample_Depth_1,69
SchemaType_array,1
XMLWrapped,1
Tag,0
MinLength_Depth_1,50
SchemaType_number,4
MinLength_Depth_2,5
Server,1
Path_Post,1
RequestBodyExtension,0
ResponseContent,15
ResponseCode_401,1
ResponseCode_502,1
ResponseCode_504,1
ResponseCode_200,1
Callback,0
PathParameter,0
SchemaComponent,2
ResponseComponent,7
SecuritySchemeComponent,2
RefSchema_Depth_1,1
Format_date-time_Depth_1,6
ResponseHeader,0
ResponseContent_application/json,14
PathExtension,0
ParameterComponent,0
GlobalWebhook,0
RequiredSchema_Depth_1,135
MediaTypeExtension,0
Items_Depth_1,1
XMLSchema_Depth_2,12
OperationParameter,0
SchemaType_object,49
RequiredSchema_Depth_2,11
RequestBodyComponent,0
SecuritySchemeExtension,0
