OpenAPI feature,Count
Path,7
OperationExtension,0
OperationParameter,0
MinLength_Depth_1,134
ResponseCode_502,7
XMLSchema_Depth_2,12
Example,110
ResponseCode_400,7
XMLSchema_Depth_1,65
MinLength_Depth_2,5
ServerExtension,0
OperationTag,7
MediaTypeExample,7
SchemaComponent,2
SecuritySchemeComponent,2
SecurityScheme_Type_apiKey,2
XMLWrapped,1
RequestBodyContent,7
RequestBodyContent_application/json,7
SchemaType_string,328
SchemaExtension_Depth_1,0
ResponseHeader,0
ResponseContent_application/json,56
ResponseLink,0
GlobalExtension,0
Operation,7
Properties_Depth_1,446
XMLAttribute,74
SchemaExample_Depth_2,11
ExampleComponent,0
LinkComponent,0
Server,1
Encoding,0
Enum_Depth_1,215
ResponseContent_application/pdf,7
PathExtension,0
SecurityScheme_In_header,2
RefSchema_Depth_1,7
ResponseCode_401,7
Callback,0
ParameterComponent,0
MediaTypeEncoding,0
Enum_Depth_2,0
Properties_Depth_2,11
SchemaType_number,16
ResponseCode_404,7
ResponseCode_500,7
CallbackComponent,0
Format_uuid_Depth_1,15
Response,56
ResponseCode_504,7
PathParameter,0
SchemaType_integer,7
HeaderComponent,0
SecuritySchemeExtension,0
RequestBody,7
RequestBodyExtension,0
Header,0
ResponseCode_200,7
Path_Post,7
RequiredSchema_Depth_1,320
SchemaExample_Depth_1,92
Link,0
ResponseComponent,7
RequiredSchema_Depth_2,11
SchemaType_object,163
Format_date-time_Depth_1,24
MediaTypeExtension,0
PathServer,0
Component,11
XMLExtension,0
SchemaType_array,1
RequestBodyComponent,0
ResponseContent,63
Tag,0
ResponsesExtension,0
ResponseExtension,0
ResponseCode_503,7
Items_Depth_1,1
SchemaExtension_Depth_2,0
ComponentExtension,0
ServerVariable,0
Responses,7
GlobalWebhook,0
