OpenAPI feature,Count
SecurityScheme_In_header,2
GlobalWebhook,0
Tag,0
Encoding,0
SchemaExample_Depth_1,68
ResponseCode_503,1
Path_Post,1
MediaTypeExample,1
ResponseCode_502,1
SchemaExtension_Depth_2,0
MediaTypeEncoding,0
PathServer,0
RequiredSchema_Depth_2,11
SchemaExample_Depth_2,11
ServerVariable,0
Example,80
ResponseCode_500,1
XMLAttribute,74
Enum_Depth_2,0
SecurityScheme_Type_apiKey,2
ServerExtension,0
Path,1
OperationTag,1
Link,0
MediaTypeExtension,0
Response,8
PathExtension,0
XMLExtension,0
Operation,1
RequestBodyContent,1
RequiredSchema_Depth_1,134
Properties_Depth_1,164
MinLength_Depth_2,5
SecuritySchemeComponent,2
SecuritySchemeExtension,0
ResponseCode_504,1
XMLSchema_Depth_2,12
CallbackComponent,0
OperationExtension,0
OperationParameter,0
ResponseContent_application/json,14
ResponseLink,0
RequestBodyComponent,0
RequestBodyExtension,0
SchemaType_object,49
RefSchema_Depth_1,1
SchemaType_integer,7
ResponseExtension,0
ResponseCode_200,1
Component,11
HeaderComponent,0
RequestBody,1
Enum_Depth_1,53
ResponseCode_401,1
Header,0
GlobalExtension,0
SchemaExtension_Depth_1,0
Format_uuid_Depth_1,3
LinkComponent,0
RequestBodyContent_application/json,1
Schema_Depth_2,12
ComponentExtension,0
ResponseContent,15
ResponseContent_application/pdf,1
ParameterComponent,0
SchemaType_array,1
ExampleComponent,0
MinLength_Depth_1,50
Format_date-time_Depth_1,6
ResponsesExtension,0
XMLSchema_Depth_1,65
PathParameter,0
SchemaComponent,2
Properties_Depth_2,11
ResponseComponent,7
Server,1
SchemaType_number,4
ResponseHeader,0
ResponseCode_404,1
Responses,1
ResponseCode_400,1
XMLWrapped,1
Schema_Depth_1,181
SchemaType_string,130
Callback,0
Items_Depth_1,1
